date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
12.2022,2022-12-23,25,"12,00",12000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,22/23,Ko Itakura
11.2022,2022-11-09,25,"7,50",7500000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,22/23,Ko Itakura
09.2022,2022-09-21,25,"7,50",7500000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,22/23,Ko Itakura
06.2022,2022-06-16,25,"5,00",5000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,21/22,Ko Itakura
12.2021,2021-12-15,24,"3,50",3500000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,21/22,Ko Itakura
05.2021,2021-05-19,24,"3,50",3500000,€,Mio.,202,FC Groningen,FC Groningen,https://tmssl.akamaized.net/images/wappen/medium/202.png?lm=1657052745,20/21,Ko Itakura
03.2021,2021-03-09,24,"3,00",3000000,€,Mio.,202,FC Groningen,FC Groningen,https://tmssl.akamaized.net/images/wappen/medium/202.png?lm=1657052745,20/21,Ko Itakura
01.2021,2021-01-06,23,"1,30",1300000,€,Mio.,202,FC Groningen,FC Groningen,https://tmssl.akamaized.net/images/wappen/medium/202.png?lm=1657052745,20/21,Ko Itakura
10.2020,2020-10-14,23,800,800000,€,Tsd.,202,FC Groningen,FC Groningen,https://tmssl.akamaized.net/images/wappen/medium/202.png?lm=1657052745,20/21,Ko Itakura
04.2020,2020-04-08,23,800,800000,€,Tsd.,202,FC Groningen,FC Groningen,https://tmssl.akamaized.net/images/wappen/medium/202.png?lm=1657052745,19/20,Ko Itakura
12.2019,2019-12-18,22,"1,00",1000000,€,Mio.,202,FC Groningen,FC Groningen,https://tmssl.akamaized.net/images/wappen/medium/202.png?lm=1657052745,19/20,Ko Itakura
09.2019,2019-09-19,22,700,700000,€,Tsd.,202,FC Groningen,FC Groningen,https://tmssl.akamaized.net/images/wappen/medium/202.png?lm=1657052745,19/20,Ko Itakura
06.2019,2019-06-12,22,500,500000,€,Tsd.,202,FC Groningen,FC Groningen,https://tmssl.akamaized.net/images/wappen/medium/202.png?lm=1657052745,18/19,Ko Itakura
01.2019,2019-01-05,21,700,700000,€,Tsd.,9598,Kawasaki Frontale,Kawasaki Front.,https://tmssl.akamaized.net/images/wappen/medium/9598.png?lm=1458666682,18/19,Ko Itakura
01.2018,2018-01-05,20,175,175000,€,Tsd.,9598,Kawasaki Frontale,Kawasaki Front.,https://tmssl.akamaized.net/images/wappen/medium/9598.png?lm=1458666682,17/18,Ko Itakura
03.2017,2017-03-25,20,100,100000,€,Tsd.,9598,Kawasaki Frontale,Kawasaki Front.,https://tmssl.akamaized.net/images/wappen/medium/9598.png?lm=1458666682,16/17,Ko Itakura
02.2016,2016-02-25,19,50,50000,€,Tsd.,9598,Kawasaki Frontale,Kawasaki Front.,https://tmssl.akamaized.net/images/wappen/medium/9598.png?lm=1458666682,15/16,Ko Itakura
07.2015,2015-07-01,18,50,50000,€,Tsd.,9598,Kawasaki Frontale,Kawasaki Front.,https://tmssl.akamaized.net/images/wappen/medium/9598.png?lm=1458666682,15/16,Ko Itakura
02.2015,2015-02-12,18,50,50000,€,Tsd.,9598,Kawasaki Frontale,Kawasaki Front.,https://tmssl.akamaized.net/images/wappen/medium/9598.png?lm=1458666682,14/15,Ko Itakura
