date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,24,"15,00",15000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,22/23,Konstantinos Mavropanos
06.2022,2022-06-09,24,"15,00",15000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,21/22,Konstantinos Mavropanos
12.2021,2021-12-22,24,"17,00",17000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,21/22,Konstantinos Mavropanos
06.2021,2021-06-09,23,"6,00",6000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Konstantinos Mavropanos
03.2021,2021-03-31,23,"6,00",6000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Konstantinos Mavropanos
02.2021,2021-02-10,23,"2,50",2500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Konstantinos Mavropanos
04.2020,2020-04-08,22,"2,40",2400000,€,Mio.,4,1.FC Nürnberg,1.FC Nürnberg,https://tmssl.akamaized.net/images/wappen/medium/4.png?lm=1525459914,19/20,Konstantinos Mavropanos
12.2019,2019-12-10,21,"3,00",3000000,€,Mio.,11,FC Arsenal,FC Arsenal,https://tmssl.akamaized.net/images/wappen/medium/11.png?lm=1489787850,19/20,Konstantinos Mavropanos
06.2019,2019-06-13,21,"3,00",3000000,€,Mio.,11,FC Arsenal,FC Arsenal,https://tmssl.akamaized.net/images/wappen/medium/11.png?lm=1489787850,18/19,Konstantinos Mavropanos
12.2018,2018-12-19,21,"3,00",3000000,€,Mio.,11,FC Arsenal,FC Arsenal,https://tmssl.akamaized.net/images/wappen/medium/11.png?lm=1489787850,18/19,Konstantinos Mavropanos
05.2018,2018-05-28,20,"3,00",3000000,€,Mio.,11,FC Arsenal,FC Arsenal,https://tmssl.akamaized.net/images/wappen/medium/11.png?lm=1489787850,17/18,Konstantinos Mavropanos
03.2018,2018-03-23,20,"2,00",2000000,€,Mio.,11,FC Arsenal,FC Arsenal,https://tmssl.akamaized.net/images/wappen/medium/11.png?lm=1489787850,17/18,Konstantinos Mavropanos
12.2017,2017-12-18,20,450,450000,€,Tsd.,2671,PAS Giannina,PAS Giannina,https://tmssl.akamaized.net/images/wappen/medium/2671.png?lm=1623427611,17/18,Konstantinos Mavropanos
05.2017,2017-05-11,19,100,100000,€,Tsd.,2671,PAS Giannina,PAS Giannina,https://tmssl.akamaized.net/images/wappen/medium/2671.png?lm=1623427611,16/17,Konstantinos Mavropanos
12.2016,2016-12-21,19,100,100000,€,Tsd.,2671,PAS Giannina,PAS Giannina,https://tmssl.akamaized.net/images/wappen/medium/2671.png?lm=1623427611,16/17,Konstantinos Mavropanos
06.2016,2016-06-21,18,100,100000,€,Tsd.,2671,PAS Giannina,PAS Giannina,https://tmssl.akamaized.net/images/wappen/medium/2671.png?lm=1623427611,15/16,Konstantinos Mavropanos
02.2016,2016-02-21,18,75,75000,€,Tsd.,2671,PAS Giannina,PAS Giannina,https://tmssl.akamaized.net/images/wappen/medium/2671.png?lm=1623427611,15/16,Konstantinos Mavropanos
