date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,28,"1,80",1800000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,22/23,Konstantinos Stafylidis
06.2022,2022-06-09,28,"1,80",1800000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,21/22,Konstantinos Stafylidis
12.2021,2021-12-22,28,"1,80",1800000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,21/22,Konstantinos Stafylidis
06.2021,2021-06-09,27,"1,20",1200000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,20/21,Konstantinos Stafylidis
02.2021,2021-02-10,27,"1,70",1700000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,20/21,Konstantinos Stafylidis
09.2020,2020-09-16,26,"2,00",2000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,20/21,Konstantinos Stafylidis
04.2020,2020-04-08,26,"2,40",2400000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,19/20,Konstantinos Stafylidis
12.2019,2019-12-17,26,"3,00",3000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,19/20,Konstantinos Stafylidis
06.2019,2019-06-05,25,"3,00",3000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,18/19,Konstantinos Stafylidis
12.2018,2018-12-18,25,"2,00",2000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,18/19,Konstantinos Stafylidis
05.2018,2018-05-28,24,"3,50",3500000,€,Mio.,512,Stoke City,Stoke City,https://tmssl.akamaized.net/images/wappen/medium/512.png?lm=1472243727,17/18,Konstantinos Stafylidis
12.2017,2017-12-28,24,"3,50",3500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,17/18,Konstantinos Stafylidis
06.2017,2017-06-19,23,"4,50",4500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,16/17,Konstantinos Stafylidis
02.2017,2017-02-07,23,"4,00",4000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,16/17,Konstantinos Stafylidis
07.2016,2016-07-22,22,"2,50",2500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,16/17,Konstantinos Stafylidis
02.2016,2016-02-15,22,"2,00",2000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,15/16,Konstantinos Stafylidis
07.2015,2015-07-01,21,"2,00",2000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,15/16,Konstantinos Stafylidis
02.2015,2015-02-24,21,"2,00",2000000,€,Mio.,931,FC Fulham,FC Fulham,https://tmssl.akamaized.net/images/wappen/medium/931.png?lm=1556831687,14/15,Konstantinos Stafylidis
08.2014,2014-08-25,20,"2,00",2000000,€,Mio.,931,FC Fulham,FC Fulham,https://tmssl.akamaized.net/images/wappen/medium/931.png?lm=1556831687,14/15,Konstantinos Stafylidis
02.2013,2013-02-10,19,"2,00",2000000,€,Mio.,1091,PAOK Thessaloniki,PAOK Saloniki,https://tmssl.akamaized.net/images/wappen/medium/1091.png?lm=1562577576,12/13,Konstantinos Stafylidis
09.2012,2012-09-21,18,"1,60",1600000,€,Mio.,1091,PAOK Thessaloniki,PAOK Saloniki,https://tmssl.akamaized.net/images/wappen/medium/1091.png?lm=1562577576,12/13,Konstantinos Stafylidis
02.2012,2012-02-26,18,600,600000,€,Tsd.,1091,PAOK Thessaloniki,PAOK Saloniki,https://tmssl.akamaized.net/images/wappen/medium/1091.png?lm=1562577576,11/12,Konstantinos Stafylidis
11.2011,2011-11-21,17,250,250000,€,Tsd.,1091,PAOK Thessaloniki,PAOK Saloniki,https://tmssl.akamaized.net/images/wappen/medium/1091.png?lm=1562577576,11/12,Konstantinos Stafylidis
02.2011,2011-02-28,17,250,250000,€,Tsd.,1091,PAOK Thessaloniki,PAOK Saloniki,https://tmssl.akamaized.net/images/wappen/medium/1091.png?lm=1562577576,10/11,Konstantinos Stafylidis
02.2011,2011-02-21,17,50,50000,€,Tsd.,1091,PAOK Thessaloniki,PAOK Saloniki,https://tmssl.akamaized.net/images/wappen/medium/1091.png?lm=1562577576,10/11,Konstantinos Stafylidis
