date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,28,"2,00",2000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,22/23,Kristian Pedersen
05.2022,2022-05-13,27,"3,00",3000000,€,Mio.,337,Birmingham City,Birmingham City,https://tmssl.akamaized.net/images/wappen/medium/337.png?lm=1672321276,21/22,Kristian Pedersen
11.2021,2021-11-24,27,"3,00",3000000,€,Mio.,337,Birmingham City,Birmingham City,https://tmssl.akamaized.net/images/wappen/medium/337.png?lm=1672321276,21/22,Kristian Pedersen
06.2021,2021-06-30,26,"4,00",4000000,€,Mio.,337,Birmingham City,Birmingham City,https://tmssl.akamaized.net/images/wappen/medium/337.png?lm=1672321276,20/21,Kristian Pedersen
03.2021,2021-03-10,26,"4,00",4000000,€,Mio.,337,Birmingham City,Birmingham City,https://tmssl.akamaized.net/images/wappen/medium/337.png?lm=1672321276,20/21,Kristian Pedersen
10.2020,2020-10-15,26,"4,00",4000000,€,Mio.,337,Birmingham City,Birmingham City,https://tmssl.akamaized.net/images/wappen/medium/337.png?lm=1672321276,20/21,Kristian Pedersen
04.2020,2020-04-08,25,"4,00",4000000,€,Mio.,337,Birmingham City,Birmingham City,https://tmssl.akamaized.net/images/wappen/medium/337.png?lm=1672321276,19/20,Kristian Pedersen
02.2020,2020-02-27,25,"5,00",5000000,€,Mio.,337,Birmingham City,Birmingham City,https://tmssl.akamaized.net/images/wappen/medium/337.png?lm=1672321276,19/20,Kristian Pedersen
06.2019,2019-06-28,24,"4,50",4500000,€,Mio.,337,Birmingham City,Birmingham City,https://tmssl.akamaized.net/images/wappen/medium/337.png?lm=1672321276,18/19,Kristian Pedersen
09.2018,2018-09-24,24,"2,50",2500000,€,Mio.,337,Birmingham City,Birmingham City,https://tmssl.akamaized.net/images/wappen/medium/337.png?lm=1672321276,18/19,Kristian Pedersen
06.2018,2018-06-19,23,"1,50",1500000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,17/18,Kristian Pedersen
01.2018,2018-01-22,23,"1,25",1250000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,17/18,Kristian Pedersen
06.2017,2017-06-27,22,"1,10",1100000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,16/17,Kristian Pedersen
01.2017,2017-01-23,22,900,900000,€,Tsd.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,16/17,Kristian Pedersen
10.2016,2016-10-06,22,600,600000,€,Tsd.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,16/17,Kristian Pedersen
07.2016,2016-07-22,21,400,400000,€,Tsd.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,16/17,Kristian Pedersen
07.2016,2016-07-01,21,400,400000,€,Tsd.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,16/17,Kristian Pedersen
01.2016,2016-01-25,21,400,400000,€,Tsd.,23297,HB Köge,HB Köge,https://tmssl.akamaized.net/images/wappen/medium/23297.png?lm=1429211362,15/16,Kristian Pedersen
09.2015,2015-09-02,21,200,200000,€,Tsd.,23297,HB Köge,HB Köge,https://tmssl.akamaized.net/images/wappen/medium/23297.png?lm=1429211362,15/16,Kristian Pedersen
12.2014,2014-12-19,20,100,100000,€,Tsd.,23297,HB Köge,HB Köge,https://tmssl.akamaized.net/images/wappen/medium/23297.png?lm=1429211362,14/15,Kristian Pedersen
09.2014,2014-09-07,20,50,50000,€,Tsd.,23297,HB Köge,HB Köge,https://tmssl.akamaized.net/images/wappen/medium/23297.png?lm=1429211362,14/15,Kristian Pedersen
