date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,26,"50,00",50000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,22/23,Lucas Hernández
06.2022,2022-06-09,26,"50,00",50000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,21/22,Lucas Hernández
12.2021,2021-12-22,25,"50,00",50000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,21/22,Lucas Hernández
06.2021,2021-06-01,25,"45,00",45000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,20/21,Lucas Hernández
02.2021,2021-02-10,24,"45,00",45000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,20/21,Lucas Hernández
11.2020,2020-11-26,24,"50,00",50000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,20/21,Lucas Hernández
09.2020,2020-09-16,24,"45,00",45000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,20/21,Lucas Hernández
04.2020,2020-04-08,24,"56,00",56000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,19/20,Lucas Hernández
12.2019,2019-12-17,23,"70,00",70000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,19/20,Lucas Hernández
06.2019,2019-06-11,23,"70,00",70000000,€,Mio.,13,Atlético Madrid,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/medium/13.png?lm=1519120744,18/19,Lucas Hernández
02.2019,2019-02-28,23,"70,00",70000000,€,Mio.,13,Atlético Madrid,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/medium/13.png?lm=1519120744,18/19,Lucas Hernández
12.2018,2018-12-21,22,"60,00",60000000,€,Mio.,13,Atlético Madrid,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/medium/13.png?lm=1519120744,18/19,Lucas Hernández
10.2018,2018-10-31,22,"50,00",50000000,€,Mio.,13,Atlético Madrid,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/medium/13.png?lm=1519120744,18/19,Lucas Hernández
07.2018,2018-07-16,22,"40,00",40000000,€,Mio.,13,Atlético Madrid,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/medium/13.png?lm=1519120744,18/19,Lucas Hernández
05.2018,2018-05-30,22,"35,00",35000000,€,Mio.,13,Atlético Madrid,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/medium/13.png?lm=1519120744,17/18,Lucas Hernández
03.2018,2018-03-22,22,"30,00",30000000,€,Mio.,13,Atlético Madrid,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/medium/13.png?lm=1519120744,17/18,Lucas Hernández
01.2018,2018-01-01,21,"20,00",20000000,€,Mio.,13,Atlético Madrid,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/medium/13.png?lm=1519120744,17/18,Lucas Hernández
06.2017,2017-06-05,21,"15,00",15000000,€,Mio.,13,Atlético Madrid,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/medium/13.png?lm=1519120744,16/17,Lucas Hernández
01.2017,2017-01-24,20,"10,00",10000000,€,Mio.,13,Atlético Madrid,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/medium/13.png?lm=1519120744,16/17,Lucas Hernández
07.2016,2016-07-15,20,"10,00",10000000,€,Mio.,13,Atlético Madrid,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/medium/13.png?lm=1519120744,16/17,Lucas Hernández
04.2016,2016-04-07,20,"5,00",5000000,€,Mio.,13,Atlético Madrid,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/medium/13.png?lm=1519120744,15/16,Lucas Hernández
02.2016,2016-02-22,20,"2,00",2000000,€,Mio.,13,Atlético Madrid,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/medium/13.png?lm=1519120744,15/16,Lucas Hernández
08.2015,2015-08-25,19,"1,00",1000000,€,Mio.,13,Atlético Madrid,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/medium/13.png?lm=1519120744,15/16,Lucas Hernández
