date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,26,"2,50",2500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,22/23,Mads Pedersen
06.2022,2022-06-09,25,"2,00",2000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,21/22,Mads Pedersen
12.2021,2021-12-22,25,"1,50",1500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,21/22,Mads Pedersen
06.2021,2021-06-09,24,"1,10",1100000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,20/21,Mads Pedersen
03.2021,2021-03-31,24,"1,10",1100000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,20/21,Mads Pedersen
02.2021,2021-02-10,24,700,700000,€,Tsd.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,20/21,Mads Pedersen
09.2020,2020-09-16,24,700,700000,€,Tsd.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,20/21,Mads Pedersen
04.2020,2020-04-08,23,725,725000,€,Tsd.,260,FC Zürich,FC Zürich,https://tmssl.akamaized.net/images/wappen/medium/260.png?lm=1656418797,19/20,Mads Pedersen
12.2019,2019-12-17,23,900,900000,€,Tsd.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,19/20,Mads Pedersen
06.2019,2019-06-08,22,900,900000,€,Tsd.,2778,FC Nordsjaelland,Nordsjaelland,https://tmssl.akamaized.net/images/wappen/medium/2778.png?lm=1564262814,18/19,Mads Pedersen
12.2018,2018-12-21,22,700,700000,€,Tsd.,2778,FC Nordsjaelland,Nordsjaelland,https://tmssl.akamaized.net/images/wappen/medium/2778.png?lm=1564262814,18/19,Mads Pedersen
06.2018,2018-06-02,21,700,700000,€,Tsd.,2778,FC Nordsjaelland,Nordsjaelland,https://tmssl.akamaized.net/images/wappen/medium/2778.png?lm=1564262814,17/18,Mads Pedersen
12.2017,2017-12-18,21,500,500000,€,Tsd.,2778,FC Nordsjaelland,Nordsjaelland,https://tmssl.akamaized.net/images/wappen/medium/2778.png?lm=1564262814,17/18,Mads Pedersen
06.2017,2017-06-21,20,500,500000,€,Tsd.,2778,FC Nordsjaelland,Nordsjaelland,https://tmssl.akamaized.net/images/wappen/medium/2778.png?lm=1564262814,16/17,Mads Pedersen
03.2017,2017-03-27,20,500,500000,€,Tsd.,2778,FC Nordsjaelland,Nordsjaelland,https://tmssl.akamaized.net/images/wappen/medium/2778.png?lm=1564262814,16/17,Mads Pedersen
12.2016,2016-12-12,20,300,300000,€,Tsd.,2778,FC Nordsjaelland,Nordsjaelland,https://tmssl.akamaized.net/images/wappen/medium/2778.png?lm=1564262814,16/17,Mads Pedersen
08.2016,2016-08-12,19,200,200000,€,Tsd.,2778,FC Nordsjaelland,Nordsjaelland,https://tmssl.akamaized.net/images/wappen/medium/2778.png?lm=1564262814,16/17,Mads Pedersen
01.2016,2016-01-21,19,100,100000,€,Tsd.,2778,FC Nordsjaelland,Nordsjaelland,https://tmssl.akamaized.net/images/wappen/medium/2778.png?lm=1564262814,15/16,Mads Pedersen
09.2015,2015-09-02,19,50,50000,€,Tsd.,2778,FC Nordsjaelland,Nordsjaelland,https://tmssl.akamaized.net/images/wappen/medium/2778.png?lm=1564262814,15/16,Mads Pedersen
