date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,27,"4,50",4500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,22/23,Marc Oliver Kempf
06.2022,2022-06-09,27,"4,50",4500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,21/22,Marc Oliver Kempf
03.2022,2022-03-24,27,"5,50",5500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,21/22,Marc Oliver Kempf
12.2021,2021-12-22,26,"7,00",7000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,21/22,Marc Oliver Kempf
06.2021,2021-06-09,26,"8,00",8000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Marc Oliver Kempf
02.2021,2021-02-10,26,"6,00",6000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Marc Oliver Kempf
04.2020,2020-04-08,25,"4,00",4000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,19/20,Marc Oliver Kempf
12.2019,2019-12-13,24,"5,00",5000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,19/20,Marc Oliver Kempf
06.2019,2019-06-05,24,"6,00",6000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,18/19,Marc Oliver Kempf
12.2018,2018-12-18,23,"5,00",5000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,18/19,Marc Oliver Kempf
08.2018,2018-08-22,23,"5,00",5000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,18/19,Marc Oliver Kempf
06.2018,2018-06-05,23,"4,00",4000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,17/18,Marc Oliver Kempf
12.2017,2017-12-28,22,"4,00",4000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,17/18,Marc Oliver Kempf
06.2017,2017-06-19,22,"4,00",4000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,16/17,Marc Oliver Kempf
02.2017,2017-02-07,22,"3,50",3500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,16/17,Marc Oliver Kempf
07.2016,2016-07-22,21,"3,50",3500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,16/17,Marc Oliver Kempf
02.2016,2016-02-11,21,"2,75",2750000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,15/16,Marc Oliver Kempf
07.2015,2015-07-01,20,"3,00",3000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,15/16,Marc Oliver Kempf
02.2015,2015-02-04,20,"3,00",3000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,14/15,Marc Oliver Kempf
07.2014,2014-07-10,19,"1,50",1500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,14/15,Marc Oliver Kempf
02.2014,2014-02-12,19,"1,00",1000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,13/14,Marc Oliver Kempf
06.2013,2013-06-30,18,500,500000,€,Tsd.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,12/13,Marc Oliver Kempf
01.2013,2013-01-13,17,500,500000,€,Tsd.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,12/13,Marc Oliver Kempf
07.2012,2012-07-16,17,150,150000,€,Tsd.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,12/13,Marc Oliver Kempf
