date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,31,"4,00",4000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,22/23,Marcel Halstenberg
06.2022,2022-06-09,30,"5,00",5000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,21/22,Marcel Halstenberg
12.2021,2021-12-22,30,"7,00",7000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,21/22,Marcel Halstenberg
10.2021,2021-10-07,30,"10,00",10000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,21/22,Marcel Halstenberg
06.2021,2021-06-01,29,"14,00",14000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Marcel Halstenberg
02.2021,2021-02-10,29,"17,00",17000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Marcel Halstenberg
07.2020,2020-07-08,28,"20,00",20000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Marcel Halstenberg
04.2020,2020-04-08,28,"17,50",17500000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,19/20,Marcel Halstenberg
12.2019,2019-12-17,28,"22,00",22000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,19/20,Marcel Halstenberg
06.2019,2019-06-05,27,"22,00",22000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,18/19,Marcel Halstenberg
03.2019,2019-03-06,27,"17,00",17000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,18/19,Marcel Halstenberg
12.2018,2018-12-18,27,"10,00",10000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,18/19,Marcel Halstenberg
06.2018,2018-06-05,26,"8,00",8000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,17/18,Marcel Halstenberg
12.2017,2017-12-28,26,"8,00",8000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,17/18,Marcel Halstenberg
