date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,30,"1,00",1000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,22/23,Marcin Kaminski
06.2022,2022-06-16,30,"1,00",1000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,21/22,Marcin Kaminski
12.2021,2021-12-15,29,"1,00",1000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,21/22,Marcin Kaminski
10.2021,2021-10-13,29,"1,00",1000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,21/22,Marcin Kaminski
06.2021,2021-06-09,29,800,800000,€,Tsd.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Marcin Kaminski
02.2021,2021-02-10,29,"1,20",1200000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Marcin Kaminski
04.2020,2020-04-08,28,"2,00",2000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,19/20,Marcin Kaminski
12.2019,2019-12-13,27,"2,50",2500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,19/20,Marcin Kaminski
09.2019,2019-09-25,27,"2,50",2500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,19/20,Marcin Kaminski
06.2019,2019-06-05,27,"3,50",3500000,€,Mio.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,18/19,Marcin Kaminski
12.2018,2018-12-18,26,"2,50",2500000,€,Mio.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,18/19,Marcin Kaminski
06.2018,2018-06-05,26,"2,50",2500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,17/18,Marcin Kaminski
12.2017,2017-12-28,25,"2,50",2500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,17/18,Marcin Kaminski
10.2017,2017-10-18,25,"2,50",2500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,17/18,Marcin Kaminski
06.2017,2017-06-27,25,"1,50",1500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,16/17,Marcin Kaminski
03.2017,2017-03-27,25,"1,00",1000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,16/17,Marcin Kaminski
01.2017,2017-01-23,25,850,850000,€,Tsd.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,16/17,Marcin Kaminski
07.2016,2016-07-22,24,850,850000,€,Tsd.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,16/17,Marcin Kaminski
03.2016,2016-03-28,24,850,850000,€,Tsd.,238,Lech Posen,Lech Posen,https://tmssl.akamaized.net/images/wappen/medium/238.png?lm=1667394613,15/16,Marcin Kaminski
01.2016,2016-01-10,23,850,850000,€,Tsd.,238,Lech Posen,Lech Posen,https://tmssl.akamaized.net/images/wappen/medium/238.png?lm=1667394613,15/16,Marcin Kaminski
06.2015,2015-06-30,23,"1,00",1000000,€,Mio.,238,Lech Posen,Lech Posen,https://tmssl.akamaized.net/images/wappen/medium/238.png?lm=1667394613,14/15,Marcin Kaminski
03.2015,2015-03-05,23,"1,00",1000000,€,Mio.,238,Lech Posen,Lech Posen,https://tmssl.akamaized.net/images/wappen/medium/238.png?lm=1667394613,14/15,Marcin Kaminski
07.2014,2014-07-21,22,"1,40",1400000,€,Mio.,238,Lech Posen,Lech Posen,https://tmssl.akamaized.net/images/wappen/medium/238.png?lm=1667394613,14/15,Marcin Kaminski
02.2014,2014-02-14,22,"1,40",1400000,€,Mio.,238,Lech Posen,Lech Posen,https://tmssl.akamaized.net/images/wappen/medium/238.png?lm=1667394613,13/14,Marcin Kaminski
07.2013,2013-07-22,21,"1,40",1400000,€,Mio.,238,Lech Posen,Lech Posen,https://tmssl.akamaized.net/images/wappen/medium/238.png?lm=1667394613,13/14,Marcin Kaminski
02.2013,2013-02-07,21,750,750000,€,Tsd.,238,Lech Posen,Lech Posen,https://tmssl.akamaized.net/images/wappen/medium/238.png?lm=1667394613,12/13,Marcin Kaminski
08.2012,2012-08-14,20,"1,20",1200000,€,Mio.,238,Lech Posen,Lech Posen,https://tmssl.akamaized.net/images/wappen/medium/238.png?lm=1667394613,12/13,Marcin Kaminski
02.2012,2012-02-16,20,600,600000,€,Tsd.,238,Lech Posen,Lech Posen,https://tmssl.akamaized.net/images/wappen/medium/238.png?lm=1667394613,11/12,Marcin Kaminski
02.2011,2011-02-03,19,200,200000,€,Tsd.,238,Lech Posen,Lech Posen,https://tmssl.akamaized.net/images/wappen/medium/238.png?lm=1667394613,10/11,Marcin Kaminski
06.2010,2010-06-22,18,175,175000,€,Tsd.,238,Lech Posen,Lech Posen,https://tmssl.akamaized.net/images/wappen/medium/238.png?lm=1667394613,09/10,Marcin Kaminski
03.2010,2010-03-17,18,125,125000,€,Tsd.,238,Lech Posen,Lech Posen,https://tmssl.akamaized.net/images/wappen/medium/238.png?lm=1667394613,09/10,Marcin Kaminski
01.2010,2010-01-20,18,50,50000,€,Tsd.,238,Lech Posen,Lech Posen,https://tmssl.akamaized.net/images/wappen/medium/238.png?lm=1667394613,09/10,Marcin Kaminski
