date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,26,"8,00",8000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,22/23,Marvin Friedrich
06.2022,2022-06-09,26,"8,00",8000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,21/22,Marvin Friedrich
12.2021,2021-12-22,26,"10,00",10000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,21/22,Marvin Friedrich
06.2021,2021-06-09,25,"10,00",10000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,20/21,Marvin Friedrich
02.2021,2021-02-10,25,"9,00",9000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,20/21,Marvin Friedrich
11.2020,2020-11-26,24,"4,50",4500000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,20/21,Marvin Friedrich
04.2020,2020-04-08,24,"2,80",2800000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,19/20,Marvin Friedrich
12.2019,2019-12-17,24,"3,50",3500000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,19/20,Marvin Friedrich
06.2019,2019-06-12,23,"3,00",3000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,18/19,Marvin Friedrich
03.2019,2019-03-13,23,"2,00",2000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,18/19,Marvin Friedrich
01.2019,2019-01-08,23,"1,50",1500000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,18/19,Marvin Friedrich
10.2018,2018-10-16,22,900,900000,€,Tsd.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,18/19,Marvin Friedrich
06.2018,2018-06-19,22,600,600000,€,Tsd.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,17/18,Marvin Friedrich
12.2017,2017-12-28,22,500,500000,€,Tsd.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,17/18,Marvin Friedrich
06.2017,2017-06-19,21,750,750000,€,Tsd.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,16/17,Marvin Friedrich
02.2017,2017-02-07,21,"1,00",1000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,16/17,Marvin Friedrich
07.2016,2016-07-22,20,"1,00",1000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,16/17,Marvin Friedrich
02.2016,2016-02-15,20,750,750000,€,Tsd.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,15/16,Marvin Friedrich
07.2015,2015-07-01,19,750,750000,€,Tsd.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,15/16,Marvin Friedrich
02.2015,2015-02-04,19,500,500000,€,Tsd.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,14/15,Marvin Friedrich
11.2014,2014-11-03,18,500,500000,€,Tsd.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,14/15,Marvin Friedrich
07.2014,2014-07-10,18,100,100000,€,Tsd.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,14/15,Marvin Friedrich
06.2014,2014-06-16,18,100,100000,€,Tsd.,1463,FC Schalke 04 U19,Schalke 04 U19,https://tmssl.akamaized.net/images/wappen/medium/1463.png?lm=1656580847,13/14,Marvin Friedrich
