date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,30,"2,00",2000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,22/23,Marvin Plattenhardt
06.2022,2022-06-09,30,"2,00",2000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,21/22,Marvin Plattenhardt
03.2022,2022-03-24,30,"2,00",2000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,21/22,Marvin Plattenhardt
12.2021,2021-12-22,29,"3,50",3500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,21/22,Marvin Plattenhardt
06.2021,2021-06-09,29,"4,00",4000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,20/21,Marvin Plattenhardt
02.2021,2021-02-10,29,"4,00",4000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,20/21,Marvin Plattenhardt
09.2020,2020-09-16,28,"5,00",5000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,20/21,Marvin Plattenhardt
04.2020,2020-04-08,28,"5,50",5500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,19/20,Marvin Plattenhardt
12.2019,2019-12-17,27,"7,00",7000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,19/20,Marvin Plattenhardt
06.2019,2019-06-05,27,"10,00",10000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,18/19,Marvin Plattenhardt
03.2019,2019-03-06,27,"12,00",12000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,18/19,Marvin Plattenhardt
12.2018,2018-12-18,26,"15,00",15000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,18/19,Marvin Plattenhardt
07.2018,2018-07-16,26,"17,00",17000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,18/19,Marvin Plattenhardt
06.2018,2018-06-05,26,"15,00",15000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,17/18,Marvin Plattenhardt
04.2018,2018-04-04,26,"12,00",12000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,17/18,Marvin Plattenhardt
12.2017,2017-12-28,25,"9,00",9000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,17/18,Marvin Plattenhardt
06.2017,2017-06-19,25,"8,00",8000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,16/17,Marvin Plattenhardt
02.2017,2017-02-07,25,"6,00",6000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,16/17,Marvin Plattenhardt
07.2016,2016-07-22,24,"4,00",4000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,16/17,Marvin Plattenhardt
