date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,28,"20,00",20000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,22/23,Matthias Ginter
06.2022,2022-06-09,28,"18,00",18000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,21/22,Matthias Ginter
12.2021,2021-12-22,27,"24,00",24000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,21/22,Matthias Ginter
10.2021,2021-10-07,27,"27,00",27000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,21/22,Matthias Ginter
06.2021,2021-06-01,27,"30,00",30000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,20/21,Matthias Ginter
02.2021,2021-02-10,27,"35,00",35000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,20/21,Matthias Ginter
11.2020,2020-11-26,26,"35,00",35000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,20/21,Matthias Ginter
09.2020,2020-09-16,26,"32,00",32000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,20/21,Matthias Ginter
04.2020,2020-04-08,26,"28,00",28000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,19/20,Matthias Ginter
12.2019,2019-12-17,25,"35,00",35000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,19/20,Matthias Ginter
06.2019,2019-06-05,25,"35,00",35000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,18/19,Matthias Ginter
12.2018,2018-12-18,24,"35,00",35000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,18/19,Matthias Ginter
06.2018,2018-06-05,24,"25,00",25000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,17/18,Matthias Ginter
04.2018,2018-04-04,24,"25,00",25000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,17/18,Matthias Ginter
12.2017,2017-12-28,23,"18,00",18000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,17/18,Matthias Ginter
06.2017,2017-06-19,23,"15,00",15000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,16/17,Matthias Ginter
02.2017,2017-02-07,23,"15,00",15000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,16/17,Matthias Ginter
07.2016,2016-07-22,22,"12,00",12000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,16/17,Matthias Ginter
02.2016,2016-02-15,22,"13,00",13000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,15/16,Matthias Ginter
07.2015,2015-07-01,21,"10,00",10000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,15/16,Matthias Ginter
02.2015,2015-02-04,21,"10,00",10000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,14/15,Matthias Ginter
07.2014,2014-07-10,20,"12,00",12000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,14/15,Matthias Ginter
