date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,23,"70,00",70000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,22/23,Matthijs de Ligt
06.2022,2022-06-07,22,"70,00",70000000,€,Mio.,506,Juventus Turin,Juventus Turin,https://tmssl.akamaized.net/images/wappen/medium/506.png?lm=1626441487,21/22,Matthijs de Ligt
03.2022,2022-03-15,22,"70,00",70000000,€,Mio.,506,Juventus Turin,Juventus Turin,https://tmssl.akamaized.net/images/wappen/medium/506.png?lm=1626441487,21/22,Matthijs de Ligt
12.2021,2021-12-28,22,"65,00",65000000,€,Mio.,506,Juventus Turin,Juventus Turin,https://tmssl.akamaized.net/images/wappen/medium/506.png?lm=1626441487,21/22,Matthijs de Ligt
10.2021,2021-10-14,22,"70,00",70000000,€,Mio.,506,Juventus Turin,Juventus Turin,https://tmssl.akamaized.net/images/wappen/medium/506.png?lm=1626441487,21/22,Matthijs de Ligt
05.2021,2021-05-27,21,"75,00",75000000,€,Mio.,506,Juventus Turin,Juventus Turin,https://tmssl.akamaized.net/images/wappen/medium/506.png?lm=1626441487,20/21,Matthijs de Ligt
12.2020,2020-12-29,21,"75,00",75000000,€,Mio.,506,Juventus Turin,Juventus Turin,https://tmssl.akamaized.net/images/wappen/medium/506.png?lm=1626441487,20/21,Matthijs de Ligt
08.2020,2020-08-25,21,"70,00",70000000,€,Mio.,506,Juventus Turin,Juventus Turin,https://tmssl.akamaized.net/images/wappen/medium/506.png?lm=1626441487,20/21,Matthijs de Ligt
04.2020,2020-04-08,20,"67,50",67500000,€,Mio.,506,Juventus Turin,Juventus Turin,https://tmssl.akamaized.net/images/wappen/medium/506.png?lm=1626441487,19/20,Matthijs de Ligt
12.2019,2019-12-12,20,"75,00",75000000,€,Mio.,506,Juventus Turin,Juventus Turin,https://tmssl.akamaized.net/images/wappen/medium/506.png?lm=1626441487,19/20,Matthijs de Ligt
06.2019,2019-06-12,19,"75,00",75000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,18/19,Matthijs de Ligt
03.2019,2019-03-13,19,"70,00",70000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,18/19,Matthijs de Ligt
12.2018,2018-12-28,19,"65,00",65000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,18/19,Matthijs de Ligt
10.2018,2018-10-04,19,"50,00",50000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,18/19,Matthijs de Ligt
06.2018,2018-06-12,18,"40,00",40000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,17/18,Matthijs de Ligt
03.2018,2018-03-27,18,"25,00",25000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,17/18,Matthijs de Ligt
01.2018,2018-01-17,18,"16,00",16000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,17/18,Matthijs de Ligt
06.2017,2017-06-07,17,"5,00",5000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,16/17,Matthijs de Ligt
01.2017,2017-01-18,17,"1,00",1000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,16/17,Matthijs de Ligt
07.2016,2016-07-01,16,100,100000,€,Tsd.,8817,Ajax Amsterdam II,Ajax II,https://tmssl.akamaized.net/images/wappen/medium/8817.png?lm=1657054414,16/17,Matthijs de Ligt
