date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,22,"20,00",20000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,22/23,Maxence Lacroix
06.2022,2022-06-09,22,"20,00",20000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,21/22,Maxence Lacroix
03.2022,2022-03-24,21,"20,00",20000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,21/22,Maxence Lacroix
12.2021,2021-12-22,21,"25,00",25000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,21/22,Maxence Lacroix
06.2021,2021-06-09,21,"28,00",28000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,20/21,Maxence Lacroix
03.2021,2021-03-31,20,"25,00",25000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,20/21,Maxence Lacroix
02.2021,2021-02-10,20,"17,00",17000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,20/21,Maxence Lacroix
11.2020,2020-11-26,20,"8,00",8000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,20/21,Maxence Lacroix
09.2020,2020-09-16,20,"4,00",4000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,20/21,Maxence Lacroix
08.2020,2020-08-14,20,"1,00",1000000,€,Mio.,750,FC Sochaux-Montbéliard,FC Sochaux,https://tmssl.akamaized.net/images/wappen/medium/750.png?lm=1439104427,20/21,Maxence Lacroix
04.2020,2020-04-08,20,725,725000,€,Tsd.,750,FC Sochaux-Montbéliard,FC Sochaux,https://tmssl.akamaized.net/images/wappen/medium/750.png?lm=1439104427,19/20,Maxence Lacroix
01.2020,2020-01-06,19,800,800000,€,Tsd.,750,FC Sochaux-Montbéliard,FC Sochaux,https://tmssl.akamaized.net/images/wappen/medium/750.png?lm=1439104427,19/20,Maxence Lacroix
09.2019,2019-09-30,19,700,700000,€,Tsd.,750,FC Sochaux-Montbéliard,FC Sochaux,https://tmssl.akamaized.net/images/wappen/medium/750.png?lm=1439104427,19/20,Maxence Lacroix
06.2019,2019-06-27,19,300,300000,€,Tsd.,750,FC Sochaux-Montbéliard,FC Sochaux,https://tmssl.akamaized.net/images/wappen/medium/750.png?lm=1439104427,18/19,Maxence Lacroix
01.2019,2019-01-08,18,200,200000,€,Tsd.,750,FC Sochaux-Montbéliard,FC Sochaux,https://tmssl.akamaized.net/images/wappen/medium/750.png?lm=1439104427,18/19,Maxence Lacroix
