date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,24,"5,00",5000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,22/23,Maxim Leitsch
06.2022,2022-06-09,24,"5,00",5000000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,21/22,Maxim Leitsch
03.2022,2022-03-24,23,"5,00",5000000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,21/22,Maxim Leitsch
12.2021,2021-12-22,23,"2,50",2500000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,21/22,Maxim Leitsch
06.2021,2021-06-16,23,"2,50",2500000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,20/21,Maxim Leitsch
02.2021,2021-02-08,22,"2,00",2000000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,20/21,Maxim Leitsch
11.2020,2020-11-18,22,"1,20",1200000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,20/21,Maxim Leitsch
07.2020,2020-07-15,22,750,750000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,20/21,Maxim Leitsch
04.2020,2020-04-08,21,525,525000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,19/20,Maxim Leitsch
04.2020,2020-04-02,21,600,600000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,19/20,Maxim Leitsch
12.2019,2019-12-13,21,350,350000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,19/20,Maxim Leitsch
09.2019,2019-09-25,21,450,450000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,19/20,Maxim Leitsch
06.2019,2019-06-12,21,600,600000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,18/19,Maxim Leitsch
01.2019,2019-01-08,20,850,850000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,18/19,Maxim Leitsch
10.2018,2018-10-16,20,850,850000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,18/19,Maxim Leitsch
06.2018,2018-06-19,20,350,350000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,17/18,Maxim Leitsch
01.2018,2018-01-22,19,350,350000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,17/18,Maxim Leitsch
06.2017,2017-06-27,19,200,200000,€,Tsd.,3862,VfL Bochum U19,VfL Bochum U19,https://tmssl.akamaized.net/images/wappen/medium/3862.png?lm=1656583091,16/17,Maxim Leitsch
01.2017,2017-01-23,18,200,200000,€,Tsd.,3862,VfL Bochum U19,VfL Bochum U19,https://tmssl.akamaized.net/images/wappen/medium/3862.png?lm=1656583091,16/17,Maxim Leitsch
07.2016,2016-07-22,18,100,100000,€,Tsd.,3862,VfL Bochum U19,VfL Bochum U19,https://tmssl.akamaized.net/images/wappen/medium/3862.png?lm=1656583091,16/17,Maxim Leitsch
