date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,22,"3,50",3500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,22/23,Maximilian Bauer
09.2022,2022-09-21,22,"2,50",2500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,22/23,Maximilian Bauer
06.2022,2022-06-09,22,"1,60",1600000,€,Mio.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,21/22,Maximilian Bauer
03.2022,2022-03-24,22,"2,00",2000000,€,Mio.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,21/22,Maximilian Bauer
12.2021,2021-12-22,21,"3,00",3000000,€,Mio.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,21/22,Maximilian Bauer
10.2021,2021-10-07,21,"3,00",3000000,€,Mio.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,21/22,Maximilian Bauer
06.2021,2021-06-16,21,"2,50",2500000,€,Mio.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,20/21,Maximilian Bauer
02.2021,2021-02-08,20,"1,20",1200000,€,Mio.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,20/21,Maximilian Bauer
11.2020,2020-11-18,20,600,600000,€,Tsd.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,20/21,Maximilian Bauer
12.2019,2019-12-13,19,300,300000,€,Tsd.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,19/20,Maximilian Bauer
06.2019,2019-06-12,19,300,300000,€,Tsd.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,18/19,Maximilian Bauer
01.2019,2019-01-08,18,350,350000,€,Tsd.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,18/19,Maximilian Bauer
10.2018,2018-10-16,18,200,200000,€,Tsd.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,18/19,Maximilian Bauer
09.2018,2018-09-07,18,75,75000,€,Tsd.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,18/19,Maximilian Bauer
