date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,25,"2,00",2000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,22/23,Maximilian Mittelstädt
09.2022,2022-09-21,25,"3,00",3000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,22/23,Maximilian Mittelstädt
06.2022,2022-06-09,25,"4,50",4500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,21/22,Maximilian Mittelstädt
12.2021,2021-12-22,24,"4,50",4500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,21/22,Maximilian Mittelstädt
10.2021,2021-10-07,24,"4,50",4500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,21/22,Maximilian Mittelstädt
06.2021,2021-06-09,24,"7,00",7000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,20/21,Maximilian Mittelstädt
02.2021,2021-02-10,23,"8,00",8000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,20/21,Maximilian Mittelstädt
09.2020,2020-09-16,23,"10,00",10000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,20/21,Maximilian Mittelstädt
04.2020,2020-04-08,23,"11,00",11000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,19/20,Maximilian Mittelstädt
12.2019,2019-12-17,22,"14,00",14000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,19/20,Maximilian Mittelstädt
06.2019,2019-06-05,22,"11,00",11000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,18/19,Maximilian Mittelstädt
03.2019,2019-03-06,21,"9,00",9000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,18/19,Maximilian Mittelstädt
12.2018,2018-12-18,21,"6,00",6000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,18/19,Maximilian Mittelstädt
10.2018,2018-10-22,21,"4,00",4000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,18/19,Maximilian Mittelstädt
06.2018,2018-06-05,21,"2,00",2000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,17/18,Maximilian Mittelstädt
12.2017,2017-12-28,20,"1,50",1500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,17/18,Maximilian Mittelstädt
06.2017,2017-06-19,20,"1,00",1000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,16/17,Maximilian Mittelstädt
03.2017,2017-03-22,20,750,750000,€,Tsd.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,16/17,Maximilian Mittelstädt
02.2017,2017-02-07,19,500,500000,€,Tsd.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,16/17,Maximilian Mittelstädt
07.2016,2016-07-22,19,500,500000,€,Tsd.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,16/17,Maximilian Mittelstädt
02.2016,2016-02-15,18,125,125000,€,Tsd.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,15/16,Maximilian Mittelstädt
08.2015,2015-08-20,18,100,100000,€,Tsd.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,15/16,Maximilian Mittelstädt
08.2014,2014-08-04,17,-,0,€,,2827,Hertha BSC U19,Hertha BSC U19,https://tmssl.akamaized.net/images/wappen/medium/2827.png?lm=1656580875,14/15,Maximilian Mittelstädt
