date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,34,"1,50",1500000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,22/23,Maya Yoshida
06.2022,2022-06-07,33,"1,50",1500000,€,Mio.,1038,Sampdoria Genua,Sampdoria,https://tmssl.akamaized.net/images/wappen/medium/1038.png?lm=1520934353,21/22,Maya Yoshida
12.2021,2021-12-28,33,"3,00",3000000,€,Mio.,1038,Sampdoria Genua,Sampdoria,https://tmssl.akamaized.net/images/wappen/medium/1038.png?lm=1520934353,21/22,Maya Yoshida
06.2021,2021-06-03,32,"3,20",3200000,€,Mio.,1038,Sampdoria Genua,Sampdoria,https://tmssl.akamaized.net/images/wappen/medium/1038.png?lm=1520934353,20/21,Maya Yoshida
12.2020,2020-12-29,32,"3,80",3800000,€,Mio.,1038,Sampdoria Genua,Sampdoria,https://tmssl.akamaized.net/images/wappen/medium/1038.png?lm=1520934353,20/21,Maya Yoshida
08.2020,2020-08-25,32,"3,80",3800000,€,Mio.,1038,Sampdoria Genua,Sampdoria,https://tmssl.akamaized.net/images/wappen/medium/1038.png?lm=1520934353,20/21,Maya Yoshida
04.2020,2020-04-08,31,"4,00",4000000,€,Mio.,1038,Sampdoria Genua,Sampdoria,https://tmssl.akamaized.net/images/wappen/medium/1038.png?lm=1520934353,19/20,Maya Yoshida
12.2019,2019-12-10,31,"5,00",5000000,€,Mio.,180,FC Southampton,Southampton,https://tmssl.akamaized.net/images/wappen/medium/180.png?lm=1444560086,19/20,Maya Yoshida
06.2019,2019-06-13,30,"7,00",7000000,€,Mio.,180,FC Southampton,Southampton,https://tmssl.akamaized.net/images/wappen/medium/180.png?lm=1444560086,18/19,Maya Yoshida
12.2018,2018-12-19,30,"7,00",7000000,€,Mio.,180,FC Southampton,Southampton,https://tmssl.akamaized.net/images/wappen/medium/180.png?lm=1444560086,18/19,Maya Yoshida
05.2018,2018-05-28,29,"7,00",7000000,€,Mio.,180,FC Southampton,Southampton,https://tmssl.akamaized.net/images/wappen/medium/180.png?lm=1444560086,17/18,Maya Yoshida
01.2018,2018-01-02,29,"7,00",7000000,€,Mio.,180,FC Southampton,Southampton,https://tmssl.akamaized.net/images/wappen/medium/180.png?lm=1444560086,17/18,Maya Yoshida
06.2017,2017-06-28,28,"5,00",5000000,€,Mio.,180,FC Southampton,Southampton,https://tmssl.akamaized.net/images/wappen/medium/180.png?lm=1444560086,16/17,Maya Yoshida
02.2017,2017-02-20,28,"4,00",4000000,€,Mio.,180,FC Southampton,Southampton,https://tmssl.akamaized.net/images/wappen/medium/180.png?lm=1444560086,16/17,Maya Yoshida
08.2016,2016-08-01,27,"4,00",4000000,€,Mio.,180,FC Southampton,Southampton,https://tmssl.akamaized.net/images/wappen/medium/180.png?lm=1444560086,16/17,Maya Yoshida
02.2016,2016-02-09,27,"4,00",4000000,€,Mio.,180,FC Southampton,Southampton,https://tmssl.akamaized.net/images/wappen/medium/180.png?lm=1444560086,15/16,Maya Yoshida
07.2015,2015-07-01,26,"5,00",5000000,€,Mio.,180,FC Southampton,Southampton,https://tmssl.akamaized.net/images/wappen/medium/180.png?lm=1444560086,15/16,Maya Yoshida
02.2015,2015-02-12,26,"5,00",5000000,€,Mio.,180,FC Southampton,Southampton,https://tmssl.akamaized.net/images/wappen/medium/180.png?lm=1444560086,14/15,Maya Yoshida
08.2014,2014-08-12,25,"4,50",4500000,€,Mio.,180,FC Southampton,Southampton,https://tmssl.akamaized.net/images/wappen/medium/180.png?lm=1444560086,14/15,Maya Yoshida
01.2014,2014-01-15,25,"4,50",4500000,€,Mio.,180,FC Southampton,Southampton,https://tmssl.akamaized.net/images/wappen/medium/180.png?lm=1444560086,13/14,Maya Yoshida
07.2013,2013-07-02,24,"5,00",5000000,€,Mio.,180,FC Southampton,Southampton,https://tmssl.akamaized.net/images/wappen/medium/180.png?lm=1444560086,13/14,Maya Yoshida
01.2013,2013-01-28,24,"4,50",4500000,€,Mio.,180,FC Southampton,Southampton,https://tmssl.akamaized.net/images/wappen/medium/180.png?lm=1444560086,12/13,Maya Yoshida
09.2012,2012-09-09,24,"3,50",3500000,€,Mio.,180,FC Southampton,Southampton,https://tmssl.akamaized.net/images/wappen/medium/180.png?lm=1444560086,12/13,Maya Yoshida
07.2012,2012-07-25,23,"1,25",1250000,€,Mio.,1426,VVV-Venlo,VVV-Venlo,https://tmssl.akamaized.net/images/wappen/medium/1426.png?lm=1610790350,12/13,Maya Yoshida
06.2011,2011-06-30,22,"1,00",1000000,€,Mio.,1426,VVV-Venlo,VVV-Venlo,https://tmssl.akamaized.net/images/wappen/medium/1426.png?lm=1610790350,10/11,Maya Yoshida
08.2010,2010-08-20,21,"1,25",1250000,€,Mio.,1426,VVV-Venlo,VVV-Venlo,https://tmssl.akamaized.net/images/wappen/medium/1426.png?lm=1610790350,10/11,Maya Yoshida
12.2009,2009-12-14,21,"1,40",1400000,€,Mio.,1066,Nagoya Grampus,Nagoya Grampus,https://tmssl.akamaized.net/images/wappen/medium/1066.png?lm=1411407326,09/10,Maya Yoshida
06.2009,2009-06-03,20,950,950000,€,Tsd.,1066,Nagoya Grampus,Nagoya Grampus,https://tmssl.akamaized.net/images/wappen/medium/1066.png?lm=1411407326,08/09,Maya Yoshida
