date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,21,"8,00",8000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,22/23,Micky van de Ven
09.2022,2022-09-21,21,"8,00",8000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,22/23,Micky van de Ven
06.2022,2022-06-09,21,"4,00",4000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,21/22,Micky van de Ven
12.2021,2021-12-22,20,"3,00",3000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,21/22,Micky van de Ven
10.2021,2021-10-07,20,"3,00",3000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,21/22,Micky van de Ven
12.2020,2020-12-31,19,"1,30",1300000,€,Mio.,724,FC Volendam,FC Volendam,https://tmssl.akamaized.net/images/wappen/medium/724.png?lm=1407649576,20/21,Micky van de Ven
10.2020,2020-10-24,19,"1,20",1200000,€,Mio.,724,FC Volendam,FC Volendam,https://tmssl.akamaized.net/images/wappen/medium/724.png?lm=1407649576,20/21,Micky van de Ven
06.2020,2020-06-29,19,"1,30",1300000,€,Mio.,724,FC Volendam,FC Volendam,https://tmssl.akamaized.net/images/wappen/medium/724.png?lm=1407649576,19/20,Micky van de Ven
04.2020,2020-04-08,18,"1,10",1100000,€,Mio.,724,FC Volendam,FC Volendam,https://tmssl.akamaized.net/images/wappen/medium/724.png?lm=1407649576,19/20,Micky van de Ven
01.2020,2020-01-17,18,"1,25",1250000,€,Mio.,724,FC Volendam,FC Volendam,https://tmssl.akamaized.net/images/wappen/medium/724.png?lm=1407649576,19/20,Micky van de Ven
