date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,27,"5,00",5000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,22/23,Milos Veljkovic
09.2022,2022-09-21,26,"5,00",5000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,22/23,Milos Veljkovic
06.2022,2022-06-16,26,"4,00",4000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,21/22,Milos Veljkovic
12.2021,2021-12-15,26,"3,00",3000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,21/22,Milos Veljkovic
10.2021,2021-10-13,26,"3,00",3000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,21/22,Milos Veljkovic
06.2021,2021-06-09,25,"4,50",4500000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,20/21,Milos Veljkovic
02.2021,2021-02-10,25,"5,00",5000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,20/21,Milos Veljkovic
04.2020,2020-04-08,24,"5,20",5200000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,19/20,Milos Veljkovic
12.2019,2019-12-17,24,"6,50",6500000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,19/20,Milos Veljkovic
06.2019,2019-06-05,23,"8,00",8000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,18/19,Milos Veljkovic
03.2019,2019-03-06,23,"10,00",10000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,18/19,Milos Veljkovic
12.2018,2018-12-18,23,"12,00",12000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,18/19,Milos Veljkovic
10.2018,2018-10-22,23,"12,00",12000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,18/19,Milos Veljkovic
06.2018,2018-06-05,22,"6,50",6500000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,17/18,Milos Veljkovic
12.2017,2017-12-28,22,"5,00",5000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,17/18,Milos Veljkovic
06.2017,2017-06-19,21,"3,00",3000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,16/17,Milos Veljkovic
02.2017,2017-02-07,21,"1,25",1250000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,16/17,Milos Veljkovic
07.2016,2016-07-22,20,500,500000,€,Tsd.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,16/17,Milos Veljkovic
02.2016,2016-02-15,20,500,500000,€,Tsd.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,15/16,Milos Veljkovic
02.2015,2015-02-24,19,250,250000,€,Tsd.,358,Charlton Athletic,Charlton Athl.,https://tmssl.akamaized.net/images/wappen/medium/358.png?lm=1448178743,14/15,Milos Veljkovic
