date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,22,"9,00",9000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,22/23,Mitchel Bakker
09.2022,2022-09-21,22,"12,00",12000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,22/23,Mitchel Bakker
06.2022,2022-06-09,21,"14,00",14000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Mitchel Bakker
03.2022,2022-03-24,21,"14,00",14000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Mitchel Bakker
12.2021,2021-12-22,21,"10,00",10000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Mitchel Bakker
06.2021,2021-06-04,20,"10,00",10000000,€,Mio.,583,FC Paris Saint-Germain,Paris SG,https://tmssl.akamaized.net/images/wappen/medium/583.png?lm=1522312728,20/21,Mitchel Bakker
01.2021,2021-01-07,20,"10,00",10000000,€,Mio.,583,FC Paris Saint-Germain,Paris SG,https://tmssl.akamaized.net/images/wappen/medium/583.png?lm=1522312728,20/21,Mitchel Bakker
10.2020,2020-10-15,20,"3,50",3500000,€,Mio.,583,FC Paris Saint-Germain,Paris SG,https://tmssl.akamaized.net/images/wappen/medium/583.png?lm=1522312728,20/21,Mitchel Bakker
04.2020,2020-04-08,19,900,900000,€,Tsd.,583,FC Paris Saint-Germain,Paris SG,https://tmssl.akamaized.net/images/wappen/medium/583.png?lm=1522312728,19/20,Mitchel Bakker
03.2020,2020-03-13,19,"1,00",1000000,€,Mio.,583,FC Paris Saint-Germain,Paris SG,https://tmssl.akamaized.net/images/wappen/medium/583.png?lm=1522312728,19/20,Mitchel Bakker
12.2019,2019-12-19,19,500,500000,€,Tsd.,583,FC Paris Saint-Germain,Paris SG,https://tmssl.akamaized.net/images/wappen/medium/583.png?lm=1522312728,19/20,Mitchel Bakker
09.2019,2019-09-27,19,500,500000,€,Tsd.,583,FC Paris Saint-Germain,Paris SG,https://tmssl.akamaized.net/images/wappen/medium/583.png?lm=1522312728,19/20,Mitchel Bakker
01.2019,2019-01-21,18,500,500000,€,Tsd.,8817,Ajax Amsterdam II,Ajax II,https://tmssl.akamaized.net/images/wappen/medium/8817.png?lm=1657054414,18/19,Mitchel Bakker
12.2018,2018-12-24,18,500,500000,€,Tsd.,8817,Ajax Amsterdam II,Ajax II,https://tmssl.akamaized.net/images/wappen/medium/8817.png?lm=1657054414,18/19,Mitchel Bakker
06.2018,2018-06-29,18,500,500000,€,Tsd.,2824,Ajax Amsterdam U19,Ajax U19,https://tmssl.akamaized.net/images/wappen/medium/2824.png?lm=1657054414,17/18,Mitchel Bakker
03.2018,2018-03-01,17,500,500000,€,Tsd.,2824,Ajax Amsterdam U19,Ajax U19,https://tmssl.akamaized.net/images/wappen/medium/2824.png?lm=1657054414,17/18,Mitchel Bakker
