date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,22,"28,00",28000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,22/23,Mohamed Simakan
06.2022,2022-06-09,22,"22,00",22000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,21/22,Mohamed Simakan
12.2021,2021-12-22,21,"18,00",18000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,21/22,Mohamed Simakan
06.2021,2021-06-04,21,"18,00",18000000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,20/21,Mohamed Simakan
01.2021,2021-01-07,20,"18,00",18000000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,20/21,Mohamed Simakan
10.2020,2020-10-15,20,"15,00",15000000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,20/21,Mohamed Simakan
08.2020,2020-08-03,20,"12,00",12000000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,20/21,Mohamed Simakan
04.2020,2020-04-08,19,"7,20",7200000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,19/20,Mohamed Simakan
02.2020,2020-02-11,19,"8,00",8000000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,19/20,Mohamed Simakan
12.2019,2019-12-19,19,"6,00",6000000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,19/20,Mohamed Simakan
09.2019,2019-09-27,19,"2,50",2500000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,19/20,Mohamed Simakan
