date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,26,"20,00",20000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,22/23,Nico Elvedi
06.2022,2022-06-09,25,"18,00",18000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,21/22,Nico Elvedi
12.2021,2021-12-22,25,"23,00",23000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,21/22,Nico Elvedi
10.2021,2021-10-07,25,"25,00",25000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,21/22,Nico Elvedi
05.2021,2021-05-25,24,"28,00",28000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,20/21,Nico Elvedi
02.2021,2021-02-10,24,"32,00",32000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,20/21,Nico Elvedi
09.2020,2020-09-16,23,"30,00",30000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,20/21,Nico Elvedi
04.2020,2020-04-08,23,"28,00",28000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,19/20,Nico Elvedi
12.2019,2019-12-17,23,"35,00",35000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,19/20,Nico Elvedi
06.2019,2019-06-05,22,"30,00",30000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,18/19,Nico Elvedi
03.2019,2019-03-06,22,"35,00",35000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,18/19,Nico Elvedi
12.2018,2018-12-18,22,"25,00",25000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,18/19,Nico Elvedi
10.2018,2018-10-22,22,"23,00",23000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,18/19,Nico Elvedi
08.2018,2018-08-22,21,"20,00",20000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,18/19,Nico Elvedi
06.2018,2018-06-05,21,"17,00",17000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,17/18,Nico Elvedi
04.2018,2018-04-04,21,"15,00",15000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,17/18,Nico Elvedi
12.2017,2017-12-28,21,"12,00",12000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,17/18,Nico Elvedi
06.2017,2017-06-19,20,"7,00",7000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,16/17,Nico Elvedi
02.2017,2017-02-07,20,"7,00",7000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,16/17,Nico Elvedi
07.2016,2016-07-22,19,"5,00",5000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,16/17,Nico Elvedi
06.2016,2016-06-01,19,"4,00",4000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,15/16,Nico Elvedi
02.2016,2016-02-15,19,"4,00",4000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,15/16,Nico Elvedi
07.2015,2015-07-01,18,"4,00",4000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,15/16,Nico Elvedi
06.2015,2015-06-18,18,"1,50",1500000,€,Mio.,260,FC Zürich,FC Zürich,https://tmssl.akamaized.net/images/wappen/medium/260.png?lm=1656418797,14/15,Nico Elvedi
04.2015,2015-04-14,18,"1,50",1500000,€,Mio.,260,FC Zürich,FC Zürich,https://tmssl.akamaized.net/images/wappen/medium/260.png?lm=1656418797,14/15,Nico Elvedi
12.2014,2014-12-16,18,500,500000,€,Tsd.,260,FC Zürich,FC Zürich,https://tmssl.akamaized.net/images/wappen/medium/260.png?lm=1656418797,14/15,Nico Elvedi
09.2014,2014-09-12,17,50,50000,€,Tsd.,260,FC Zürich,FC Zürich,https://tmssl.akamaized.net/images/wappen/medium/260.png?lm=1656418797,14/15,Nico Elvedi
02.2014,2014-02-14,17,50,50000,€,Tsd.,260,FC Zürich,FC Zürich,https://tmssl.akamaized.net/images/wappen/medium/260.png?lm=1656418797,13/14,Nico Elvedi
