date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,22,"33,00",33000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,22/23,Nico Schlotterbeck
06.2022,2022-06-09,22,"33,00",33000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,21/22,Nico Schlotterbeck
03.2022,2022-03-24,22,"28,00",28000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,21/22,Nico Schlotterbeck
12.2021,2021-12-22,22,"20,00",20000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,21/22,Nico Schlotterbeck
10.2021,2021-10-07,21,"13,00",13000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,21/22,Nico Schlotterbeck
06.2021,2021-06-09,21,"7,50",7500000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,20/21,Nico Schlotterbeck
02.2021,2021-02-10,21,"4,00",4000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,20/21,Nico Schlotterbeck
04.2020,2020-04-08,20,"4,00",4000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,19/20,Nico Schlotterbeck
12.2019,2019-12-17,20,"4,50",4500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,19/20,Nico Schlotterbeck
10.2019,2019-10-02,19,"2,50",2500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,19/20,Nico Schlotterbeck
06.2019,2019-06-05,19,300,300000,€,Tsd.,245,SC Freiburg II,SC Freiburg II,https://tmssl.akamaized.net/images/wappen/medium/245.png?lm=1594709898,18/19,Nico Schlotterbeck
02.2019,2019-02-11,19,75,75000,€,Tsd.,245,SC Freiburg II,SC Freiburg II,https://tmssl.akamaized.net/images/wappen/medium/245.png?lm=1594709898,18/19,Nico Schlotterbeck
08.2018,2018-08-06,18,75,75000,€,Tsd.,245,SC Freiburg II,SC Freiburg II,https://tmssl.akamaized.net/images/wappen/medium/245.png?lm=1594709898,18/19,Nico Schlotterbeck
