date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-02,23,"5,00",5000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,22/23,Nicolas Cozza
05.2022,2022-05-30,23,"5,00",5000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,21/22,Nicolas Cozza
03.2022,2022-03-23,23,"5,00",5000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,21/22,Nicolas Cozza
12.2021,2021-12-16,22,"4,00",4000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,21/22,Nicolas Cozza
10.2021,2021-10-08,22,"4,00",4000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,21/22,Nicolas Cozza
06.2021,2021-06-04,22,"3,80",3800000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,20/21,Nicolas Cozza
10.2020,2020-10-15,21,"3,50",3500000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,20/21,Nicolas Cozza
04.2020,2020-04-08,21,"3,60",3600000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,19/20,Nicolas Cozza
12.2019,2019-12-19,20,"4,00",4000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,19/20,Nicolas Cozza
06.2019,2019-06-03,20,"4,00",4000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,18/19,Nicolas Cozza
12.2018,2018-12-17,19,"4,00",4000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,18/19,Nicolas Cozza
10.2018,2018-10-24,19,"2,50",2500000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,18/19,Nicolas Cozza
06.2018,2018-06-04,19,"1,00",1000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,17/18,Nicolas Cozza
01.2018,2018-01-24,19,150,150000,€,Tsd.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,17/18,Nicolas Cozza
10.2017,2017-10-12,18,150,150000,€,Tsd.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,17/18,Nicolas Cozza
