date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,27,"4,50",4500000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,22/23,Niklas Stark
09.2022,2022-09-21,27,"4,50",4500000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,22/23,Niklas Stark
06.2022,2022-06-09,27,"6,50",6500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,21/22,Niklas Stark
03.2022,2022-03-24,26,"7,50",7500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,21/22,Niklas Stark
12.2021,2021-12-22,26,"10,00",10000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,21/22,Niklas Stark
06.2021,2021-06-09,26,"10,00",10000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,20/21,Niklas Stark
02.2021,2021-02-10,25,"10,00",10000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,20/21,Niklas Stark
09.2020,2020-09-16,25,"10,00",10000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,20/21,Niklas Stark
07.2020,2020-07-08,25,"13,00",13000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,20/21,Niklas Stark
04.2020,2020-04-08,24,"16,00",16000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,19/20,Niklas Stark
12.2019,2019-12-17,24,"20,00",20000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,19/20,Niklas Stark
06.2019,2019-06-05,24,"20,00",20000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,18/19,Niklas Stark
12.2018,2018-12-18,23,"20,00",20000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,18/19,Niklas Stark
10.2018,2018-10-22,23,"20,00",20000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,18/19,Niklas Stark
06.2018,2018-06-05,23,"15,00",15000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,17/18,Niklas Stark
04.2018,2018-04-04,22,"15,00",15000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,17/18,Niklas Stark
12.2017,2017-12-28,22,"12,00",12000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,17/18,Niklas Stark
06.2017,2017-06-19,22,"10,00",10000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,16/17,Niklas Stark
03.2017,2017-03-22,21,"8,00",8000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,16/17,Niklas Stark
02.2017,2017-02-07,21,"6,50",6500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,16/17,Niklas Stark
07.2016,2016-07-22,21,"4,50",4500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,16/17,Niklas Stark
04.2016,2016-04-13,20,"3,50",3500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,15/16,Niklas Stark
02.2016,2016-02-15,20,"2,50",2500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,15/16,Niklas Stark
07.2015,2015-07-01,20,"2,00",2000000,€,Mio.,4,1.FC Nürnberg,1.FC Nürnberg,https://tmssl.akamaized.net/images/wappen/medium/4.png?lm=1525459914,15/16,Niklas Stark
01.2015,2015-01-13,19,"2,00",2000000,€,Mio.,4,1.FC Nürnberg,1.FC Nürnberg,https://tmssl.akamaized.net/images/wappen/medium/4.png?lm=1525459914,14/15,Niklas Stark
07.2014,2014-07-10,19,"2,00",2000000,€,Mio.,4,1.FC Nürnberg,1.FC Nürnberg,https://tmssl.akamaized.net/images/wappen/medium/4.png?lm=1525459914,14/15,Niklas Stark
02.2014,2014-02-12,18,"2,00",2000000,€,Mio.,4,1.FC Nürnberg,1.FC Nürnberg,https://tmssl.akamaized.net/images/wappen/medium/4.png?lm=1525459914,13/14,Niklas Stark
11.2013,2013-11-05,18,"1,50",1500000,€,Mio.,4,1.FC Nürnberg,1.FC Nürnberg,https://tmssl.akamaized.net/images/wappen/medium/4.png?lm=1525459914,13/14,Niklas Stark
