date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,31,"2,00",2000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,22/23,Niko Gießelmann
06.2022,2022-06-09,30,"2,30",2300000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,21/22,Niko Gießelmann
12.2021,2021-12-22,30,"2,30",2300000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,21/22,Niko Gießelmann
10.2021,2021-10-07,30,"1,80",1800000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,21/22,Niko Gießelmann
06.2021,2021-06-09,29,"1,30",1300000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,20/21,Niko Gießelmann
02.2021,2021-02-10,29,"2,00",2000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,20/21,Niko Gießelmann
09.2020,2020-09-16,28,"2,50",2500000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,20/21,Niko Gießelmann
04.2020,2020-04-08,28,"2,80",2800000,€,Mio.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,19/20,Niko Gießelmann
03.2020,2020-03-11,28,"3,50",3500000,€,Mio.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,19/20,Niko Gießelmann
12.2019,2019-12-17,28,"4,00",4000000,€,Mio.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,19/20,Niko Gießelmann
