date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,21,"1,50",1500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,22/23,Nikola Soldo
09.2022,2022-09-21,21,"1,20",1200000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,22/23,Nikola Soldo
06.2022,2022-06-06,21,"1,80",1800000,€,Mio.,11194,NK Lokomotiva Zagreb,NK Lokomotiva,https://tmssl.akamaized.net/images/wappen/medium/11194.png?lm=1505567651,21/22,Nikola Soldo
03.2022,2022-03-22,21,"1,50",1500000,€,Mio.,11194,NK Lokomotiva Zagreb,NK Lokomotiva,https://tmssl.akamaized.net/images/wappen/medium/11194.png?lm=1505567651,21/22,Nikola Soldo
12.2021,2021-12-30,20,"1,00",1000000,€,Mio.,11194,NK Lokomotiva Zagreb,NK Lokomotiva,https://tmssl.akamaized.net/images/wappen/medium/11194.png?lm=1505567651,21/22,Nikola Soldo
06.2021,2021-06-30,20,350,350000,€,Tsd.,918,NK Inker,Inker,https://tmssl.akamaized.net/images/wappen/medium/918.png?lm=1660256432,20/21,Nikola Soldo
07.2020,2020-07-27,19,500,500000,€,Tsd.,918,NK Inker,Inker,https://tmssl.akamaized.net/images/wappen/medium/918.png?lm=1660256432,20/21,Nikola Soldo
04.2020,2020-04-08,19,525,525000,€,Tsd.,918,NK Inker,Inker,https://tmssl.akamaized.net/images/wappen/medium/918.png?lm=1660256432,19/20,Nikola Soldo
12.2019,2019-12-27,18,600,600000,€,Tsd.,918,NK Inker,Inker,https://tmssl.akamaized.net/images/wappen/medium/918.png?lm=1660256432,19/20,Nikola Soldo
09.2019,2019-09-16,18,250,250000,€,Tsd.,918,NK Inker,Inker,https://tmssl.akamaized.net/images/wappen/medium/918.png?lm=1660256432,19/20,Nikola Soldo
