date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,21,"20,00",20000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,22/23,Odilon Kossounou
06.2022,2022-06-09,21,"20,00",20000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Odilon Kossounou
03.2022,2022-03-24,21,"20,00",20000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Odilon Kossounou
12.2021,2021-12-22,20,"23,00",23000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Odilon Kossounou
10.2021,2021-10-07,20,"23,00",23000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Odilon Kossounou
06.2021,2021-06-07,20,"13,00",13000000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,20/21,Odilon Kossounou
03.2021,2021-03-17,20,"12,00",12000000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,20/21,Odilon Kossounou
01.2021,2021-01-04,20,"8,00",8000000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,20/21,Odilon Kossounou
10.2020,2020-10-16,19,"6,00",6000000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,20/21,Odilon Kossounou
04.2020,2020-04-08,19,"4,00",4000000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,19/20,Odilon Kossounou
03.2020,2020-03-30,19,"4,50",4500000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,19/20,Odilon Kossounou
12.2019,2019-12-13,18,"3,00",3000000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,19/20,Odilon Kossounou
06.2019,2019-06-28,18,"2,80",2800000,€,Mio.,1059,Hammarby IF,Hammarby IF,https://tmssl.akamaized.net/images/wappen/medium/1059.png?lm=1420188123,18/19,Odilon Kossounou
