date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,22,"10,00",10000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,22/23,Ozan Kabak
06.2022,2022-06-15,22,"10,00",10000000,€,Mio.,1123,Norwich City,Norwich City,https://tmssl.akamaized.net/images/wappen/medium/1123.png?lm=1655469640,21/22,Ozan Kabak
03.2022,2022-03-29,22,"13,00",13000000,€,Mio.,1123,Norwich City,Norwich City,https://tmssl.akamaized.net/images/wappen/medium/1123.png?lm=1655469640,21/22,Ozan Kabak
12.2021,2021-12-23,21,"15,00",15000000,€,Mio.,1123,Norwich City,Norwich City,https://tmssl.akamaized.net/images/wappen/medium/1123.png?lm=1655469640,21/22,Ozan Kabak
10.2021,2021-10-05,21,"17,00",17000000,€,Mio.,1123,Norwich City,Norwich City,https://tmssl.akamaized.net/images/wappen/medium/1123.png?lm=1655469640,21/22,Ozan Kabak
05.2021,2021-05-25,21,"25,00",25000000,€,Mio.,31,FC Liverpool,Liverpool,https://tmssl.akamaized.net/images/wappen/medium/31.png?lm=1456567819,20/21,Ozan Kabak
03.2021,2021-03-18,20,"25,00",25000000,€,Mio.,31,FC Liverpool,Liverpool,https://tmssl.akamaized.net/images/wappen/medium/31.png?lm=1456567819,20/21,Ozan Kabak
11.2020,2020-11-26,20,"25,00",25000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,20/21,Ozan Kabak
04.2020,2020-04-08,20,"29,00",29000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,19/20,Ozan Kabak
03.2020,2020-03-11,19,"32,00",32000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,19/20,Ozan Kabak
12.2019,2019-12-17,19,"22,00",22000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,19/20,Ozan Kabak
06.2019,2019-06-05,19,"15,00",15000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,18/19,Ozan Kabak
03.2019,2019-03-06,18,"10,00",10000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,18/19,Ozan Kabak
01.2019,2019-01-04,18,"6,50",6500000,€,Mio.,141,Galatasaray,Galatasaray,https://tmssl.akamaized.net/images/wappen/medium/141.png?lm=1406739071,18/19,Ozan Kabak
10.2018,2018-10-11,18,500,500000,€,Tsd.,141,Galatasaray,Galatasaray,https://tmssl.akamaized.net/images/wappen/medium/141.png?lm=1406739071,18/19,Ozan Kabak
06.2018,2018-06-30,18,150,150000,€,Tsd.,11502,Galatasaray Istanbul U21,Galatasaray U21,https://tmssl.akamaized.net/images/wappen/medium/11502.png?lm=1549029898,17/18,Ozan Kabak
07.2017,2017-07-04,17,100,100000,€,Tsd.,11502,Galatasaray Istanbul U21,Galatasaray U21,https://tmssl.akamaized.net/images/wappen/medium/11502.png?lm=1549029898,17/18,Ozan Kabak
