date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,27,"6,50",6500000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,22/23,Paulo Otávio
06.2022,2022-06-09,27,"6,00",6000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,21/22,Paulo Otávio
12.2021,2021-12-22,27,"7,00",7000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,21/22,Paulo Otávio
06.2021,2021-06-09,26,"8,00",8000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,20/21,Paulo Otávio
03.2021,2021-03-31,26,"6,00",6000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,20/21,Paulo Otávio
02.2021,2021-02-10,26,"3,00",3000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,20/21,Paulo Otávio
09.2020,2020-09-16,25,"1,20",1200000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,20/21,Paulo Otávio
04.2020,2020-04-08,25,800,800000,€,Tsd.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,19/20,Paulo Otávio
12.2019,2019-12-17,25,"1,00",1000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,19/20,Paulo Otávio
06.2019,2019-06-12,24,"1,00",1000000,€,Mio.,4795,FC Ingolstadt 04,FC Ingolstadt,https://tmssl.akamaized.net/images/wappen/medium/4795.png?lm=1482665720,18/19,Paulo Otávio
01.2019,2019-01-08,24,650,650000,€,Tsd.,4795,FC Ingolstadt 04,FC Ingolstadt,https://tmssl.akamaized.net/images/wappen/medium/4795.png?lm=1482665720,18/19,Paulo Otávio
06.2018,2018-06-19,23,650,650000,€,Tsd.,4795,FC Ingolstadt 04,FC Ingolstadt,https://tmssl.akamaized.net/images/wappen/medium/4795.png?lm=1482665720,17/18,Paulo Otávio
01.2018,2018-01-22,23,900,900000,€,Tsd.,4795,FC Ingolstadt 04,FC Ingolstadt,https://tmssl.akamaized.net/images/wappen/medium/4795.png?lm=1482665720,17/18,Paulo Otávio
08.2017,2017-08-21,22,"1,00",1000000,€,Mio.,4795,FC Ingolstadt 04,FC Ingolstadt,https://tmssl.akamaized.net/images/wappen/medium/4795.png?lm=1482665720,17/18,Paulo Otávio
05.2017,2017-05-27,22,500,500000,€,Tsd.,413,LASK,LASK,https://tmssl.akamaized.net/images/wappen/medium/413.png?lm=1569950442,16/17,Paulo Otávio
12.2016,2016-12-03,22,325,325000,€,Tsd.,413,LASK,LASK,https://tmssl.akamaized.net/images/wappen/medium/413.png?lm=1569950442,16/17,Paulo Otávio
12.2015,2015-12-15,21,125,125000,€,Tsd.,776,Coritiba FC,Coritiba FC,https://tmssl.akamaized.net/images/wappen/medium/776.png?lm=1412879464,15/16,Paulo Otávio
09.2015,2015-09-11,20,100,100000,€,Tsd.,6347,Paysandu SC (PA),Paysandu SC,https://tmssl.akamaized.net/images/wappen/medium/6347.png?lm=1596631029,15/16,Paulo Otávio
05.2015,2015-05-31,20,100,100000,€,Tsd.,6347,Paysandu SC (PA),Paysandu SC,https://tmssl.akamaized.net/images/wappen/medium/6347.png?lm=1596631029,14/15,Paulo Otávio
