date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,26,"20,00",20000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,22/23,Philipp Lienhart
06.2022,2022-06-09,25,"18,00",18000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,21/22,Philipp Lienhart
12.2021,2021-12-22,25,"17,00",17000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,21/22,Philipp Lienhart
05.2021,2021-05-27,24,"14,00",14000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,20/21,Philipp Lienhart
02.2021,2021-02-10,24,"14,00",14000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,20/21,Philipp Lienhart
07.2020,2020-07-08,23,"12,00",12000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,20/21,Philipp Lienhart
04.2020,2020-04-08,23,"9,00",9000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,19/20,Philipp Lienhart
12.2019,2019-12-17,23,"11,00",11000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,19/20,Philipp Lienhart
10.2019,2019-10-02,23,"7,00",7000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,19/20,Philipp Lienhart
06.2019,2019-06-05,22,"4,00",4000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,18/19,Philipp Lienhart
12.2018,2018-12-18,22,"2,50",2500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,18/19,Philipp Lienhart
06.2018,2018-06-05,21,"2,50",2500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,17/18,Philipp Lienhart
12.2017,2017-12-28,21,"3,00",3000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,17/18,Philipp Lienhart
10.2017,2017-10-18,21,"3,00",3000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,17/18,Philipp Lienhart
06.2017,2017-06-30,20,800,800000,€,Tsd.,6767,Real Madrid Castilla,RM Castilla,https://tmssl.akamaized.net/images/wappen/medium/6767.png?lm=1580722449,16/17,Philipp Lienhart
02.2017,2017-02-02,20,800,800000,€,Tsd.,6767,Real Madrid Castilla,RM Castilla,https://tmssl.akamaized.net/images/wappen/medium/6767.png?lm=1580722449,16/17,Philipp Lienhart
08.2016,2016-08-01,20,800,800000,€,Tsd.,6767,Real Madrid Castilla,RM Castilla,https://tmssl.akamaized.net/images/wappen/medium/6767.png?lm=1580722449,16/17,Philipp Lienhart
