date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
12.2022,2022-12-23,20,"25,00",25000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,22/23,Piero Hincapié
11.2022,2022-11-09,20,"22,00",22000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,22/23,Piero Hincapié
09.2022,2022-09-21,20,"22,00",22000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,22/23,Piero Hincapié
06.2022,2022-06-09,20,"17,00",17000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Piero Hincapié
03.2022,2022-03-24,20,"17,00",17000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Piero Hincapié
12.2021,2021-12-22,19,"13,00",13000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Piero Hincapié
07.2021,2021-07-16,19,"8,00",8000000,€,Mio.,3938,Club Atlético Talleres,CA Talleres,https://tmssl.akamaized.net/images/wappen/medium/3938.png?lm=1636589988,21/22,Piero Hincapié
06.2021,2021-06-11,19,"5,00",5000000,€,Mio.,3938,Club Atlético Talleres,CA Talleres,https://tmssl.akamaized.net/images/wappen/medium/3938.png?lm=1636589988,20/21,Piero Hincapié
02.2021,2021-02-08,19,700,700000,€,Tsd.,3938,Club Atlético Talleres,CA Talleres,https://tmssl.akamaized.net/images/wappen/medium/3938.png?lm=1636589988,20/21,Piero Hincapié
08.2020,2020-08-19,18,600,600000,€,Tsd.,19309,Independiente del Valle,Independiente,https://tmssl.akamaized.net/images/wappen/medium/19309.png?lm=1678730279,20/21,Piero Hincapié
07.2020,2020-07-01,18,400,400000,€,Tsd.,19309,Independiente del Valle,Independiente,https://tmssl.akamaized.net/images/wappen/medium/19309.png?lm=1678730279,20/21,Piero Hincapié
01.2020,2020-01-01,17,100,100000,€,Tsd.,19309,Independiente del Valle,Independiente,https://tmssl.akamaized.net/images/wappen/medium/19309.png?lm=1678730279,19/20,Piero Hincapié
