date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,27,"20,00",20000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,22/23,Ramy Bensebaini
06.2022,2022-06-09,27,"17,00",17000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,21/22,Ramy Bensebaini
03.2022,2022-03-24,26,"17,00",17000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,21/22,Ramy Bensebaini
12.2021,2021-12-22,26,"22,00",22000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,21/22,Ramy Bensebaini
06.2021,2021-06-09,26,"22,00",22000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,20/21,Ramy Bensebaini
02.2021,2021-02-10,25,"22,00",22000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,20/21,Ramy Bensebaini
11.2020,2020-11-26,25,"18,00",18000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,20/21,Ramy Bensebaini
07.2020,2020-07-08,25,"15,00",15000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,20/21,Ramy Bensebaini
04.2020,2020-04-08,24,"9,50",9500000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,19/20,Ramy Bensebaini
12.2019,2019-12-17,24,"12,00",12000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,19/20,Ramy Bensebaini
06.2019,2019-06-03,24,"8,00",8000000,€,Mio.,273,FC Stade Rennes,Rennes,https://tmssl.akamaized.net/images/wappen/medium/273.png?lm=1408779098,18/19,Ramy Bensebaini
12.2018,2018-12-17,23,"8,00",8000000,€,Mio.,273,FC Stade Rennes,Rennes,https://tmssl.akamaized.net/images/wappen/medium/273.png?lm=1408779098,18/19,Ramy Bensebaini
06.2018,2018-06-04,23,"8,00",8000000,€,Mio.,273,FC Stade Rennes,Rennes,https://tmssl.akamaized.net/images/wappen/medium/273.png?lm=1408779098,17/18,Ramy Bensebaini
01.2018,2018-01-24,22,"7,00",7000000,€,Mio.,273,FC Stade Rennes,Rennes,https://tmssl.akamaized.net/images/wappen/medium/273.png?lm=1408779098,17/18,Ramy Bensebaini
10.2017,2017-10-12,22,"4,50",4500000,€,Mio.,273,FC Stade Rennes,Rennes,https://tmssl.akamaized.net/images/wappen/medium/273.png?lm=1408779098,17/18,Ramy Bensebaini
06.2017,2017-06-01,22,"2,00",2000000,€,Mio.,273,FC Stade Rennes,Rennes,https://tmssl.akamaized.net/images/wappen/medium/273.png?lm=1408779098,16/17,Ramy Bensebaini
01.2017,2017-01-16,21,"2,00",2000000,€,Mio.,273,FC Stade Rennes,Rennes,https://tmssl.akamaized.net/images/wappen/medium/273.png?lm=1408779098,16/17,Ramy Bensebaini
07.2016,2016-07-13,21,"2,00",2000000,€,Mio.,273,FC Stade Rennes,Rennes,https://tmssl.akamaized.net/images/wappen/medium/273.png?lm=1408779098,16/17,Ramy Bensebaini
02.2016,2016-02-04,20,"2,00",2000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,15/16,Ramy Bensebaini
06.2015,2015-06-24,20,"1,00",1000000,€,Mio.,204,Lierse SK (- 2018),Lierse SK,https://tmssl.akamaized.net/images/wappen/medium/204.png?lm=1448474775,14/15,Ramy Bensebaini
01.2015,2015-01-08,19,800,800000,€,Tsd.,204,Lierse SK (- 2018),Lierse SK,https://tmssl.akamaized.net/images/wappen/medium/204.png?lm=1448474775,14/15,Ramy Bensebaini
10.2014,2014-10-05,19,500,500000,€,Tsd.,204,Lierse SK (- 2018),Lierse SK,https://tmssl.akamaized.net/images/wappen/medium/204.png?lm=1448474775,14/15,Ramy Bensebaini
