date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,28,"20,00",20000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,22/23,Raphaël Guerreiro
09.2022,2022-09-21,28,"20,00",20000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,22/23,Raphaël Guerreiro
06.2022,2022-06-09,28,"25,00",25000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,21/22,Raphaël Guerreiro
12.2021,2021-12-22,28,"35,00",35000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,21/22,Raphaël Guerreiro
06.2021,2021-06-01,27,"40,00",40000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Raphaël Guerreiro
02.2021,2021-02-10,27,"35,00",35000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Raphaël Guerreiro
07.2020,2020-07-08,26,"35,00",35000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Raphaël Guerreiro
04.2020,2020-04-08,26,"28,00",28000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,19/20,Raphaël Guerreiro
03.2020,2020-03-11,26,"35,00",35000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,19/20,Raphaël Guerreiro
12.2019,2019-12-17,25,"25,00",25000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,19/20,Raphaël Guerreiro
06.2019,2019-06-05,25,"25,00",25000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,18/19,Raphaël Guerreiro
12.2018,2018-12-18,24,"20,00",20000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,18/19,Raphaël Guerreiro
10.2018,2018-10-22,24,"18,00",18000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,18/19,Raphaël Guerreiro
07.2018,2018-07-16,24,"21,00",21000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,18/19,Raphaël Guerreiro
06.2018,2018-06-05,24,"18,00",18000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,17/18,Raphaël Guerreiro
12.2017,2017-12-28,24,"20,00",20000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,17/18,Raphaël Guerreiro
06.2017,2017-06-19,23,"20,00",20000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,16/17,Raphaël Guerreiro
02.2017,2017-02-07,23,"18,00",18000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,16/17,Raphaël Guerreiro
10.2016,2016-10-13,22,"18,00",18000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,16/17,Raphaël Guerreiro
07.2016,2016-07-22,22,"12,00",12000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,16/17,Raphaël Guerreiro
06.2016,2016-06-01,22,"9,00",9000000,€,Mio.,1158,FC Lorient,FC Lorient,https://tmssl.akamaized.net/images/wappen/medium/1158.png?lm=1406642498,15/16,Raphaël Guerreiro
02.2016,2016-02-04,22,"7,50",7500000,€,Mio.,1158,FC Lorient,FC Lorient,https://tmssl.akamaized.net/images/wappen/medium/1158.png?lm=1406642498,15/16,Raphaël Guerreiro
06.2015,2015-06-06,21,"7,50",7500000,€,Mio.,1158,FC Lorient,FC Lorient,https://tmssl.akamaized.net/images/wappen/medium/1158.png?lm=1406642498,14/15,Raphaël Guerreiro
01.2015,2015-01-14,21,"6,00",6000000,€,Mio.,1158,FC Lorient,FC Lorient,https://tmssl.akamaized.net/images/wappen/medium/1158.png?lm=1406642498,14/15,Raphaël Guerreiro
08.2014,2014-08-07,20,"3,50",3500000,€,Mio.,1158,FC Lorient,FC Lorient,https://tmssl.akamaized.net/images/wappen/medium/1158.png?lm=1406642498,14/15,Raphaël Guerreiro
01.2014,2014-01-14,20,"3,00",3000000,€,Mio.,1158,FC Lorient,FC Lorient,https://tmssl.akamaized.net/images/wappen/medium/1158.png?lm=1406642498,13/14,Raphaël Guerreiro
09.2013,2013-09-13,19,"2,00",2000000,€,Mio.,1158,FC Lorient,FC Lorient,https://tmssl.akamaized.net/images/wappen/medium/1158.png?lm=1406642498,13/14,Raphaël Guerreiro
05.2013,2013-05-29,19,"1,50",1500000,€,Mio.,1162,SM Caen,SM Caen,https://tmssl.akamaized.net/images/wappen/medium/1162.png?lm=1499703190,12/13,Raphaël Guerreiro
01.2013,2013-01-04,19,750,750000,€,Tsd.,1162,SM Caen,SM Caen,https://tmssl.akamaized.net/images/wappen/medium/1162.png?lm=1499703190,12/13,Raphaël Guerreiro
07.2012,2012-07-30,18,200,200000,€,Tsd.,1162,SM Caen,SM Caen,https://tmssl.akamaized.net/images/wappen/medium/1162.png?lm=1499703190,12/13,Raphaël Guerreiro
