date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,23,"12,00",12000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,22/23,Reece Oxford
06.2022,2022-06-09,23,"12,00",12000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,21/22,Reece Oxford
03.2022,2022-03-24,23,"10,00",10000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,21/22,Reece Oxford
12.2021,2021-12-22,23,"8,00",8000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,21/22,Reece Oxford
10.2021,2021-10-07,22,"5,00",5000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,21/22,Reece Oxford
06.2021,2021-06-09,22,"3,00",3000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,20/21,Reece Oxford
02.2021,2021-02-10,22,"3,00",3000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,20/21,Reece Oxford
09.2020,2020-09-16,21,"2,00",2000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,20/21,Reece Oxford
04.2020,2020-04-08,21,"2,30",2300000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,19/20,Reece Oxford
12.2019,2019-12-17,21,"2,50",2500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,19/20,Reece Oxford
10.2019,2019-10-02,20,"3,00",3000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,19/20,Reece Oxford
06.2019,2019-06-05,20,"4,00",4000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,18/19,Reece Oxford
12.2018,2018-12-19,20,"7,00",7000000,€,Mio.,379,West Ham United,West Ham Utd.,https://tmssl.akamaized.net/images/wappen/medium/379.png?lm=1464675260,18/19,Reece Oxford
06.2018,2018-06-05,19,"5,00",5000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,17/18,Reece Oxford
12.2017,2017-12-28,19,"5,00",5000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,17/18,Reece Oxford
06.2017,2017-06-28,18,"5,00",5000000,€,Mio.,379,West Ham United,West Ham Utd.,https://tmssl.akamaized.net/images/wappen/medium/379.png?lm=1464675260,16/17,Reece Oxford
02.2017,2017-02-27,18,"4,00",4000000,€,Mio.,1032,FC Reading,FC Reading,https://tmssl.akamaized.net/images/wappen/medium/1032.png?lm=1457723329,16/17,Reece Oxford
08.2016,2016-08-01,17,"4,00",4000000,€,Mio.,379,West Ham United,West Ham Utd.,https://tmssl.akamaized.net/images/wappen/medium/379.png?lm=1464675260,16/17,Reece Oxford
02.2016,2016-02-09,17,"1,50",1500000,€,Mio.,379,West Ham United,West Ham Utd.,https://tmssl.akamaized.net/images/wappen/medium/379.png?lm=1464675260,15/16,Reece Oxford
10.2015,2015-10-14,16,750,750000,€,Tsd.,379,West Ham United,West Ham Utd.,https://tmssl.akamaized.net/images/wappen/medium/379.png?lm=1464675260,15/16,Reece Oxford
