date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,23,"8,50",8500000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,22/23,Sebastiaan Bornauw
06.2022,2022-06-09,23,"10,00",10000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,21/22,Sebastiaan Bornauw
12.2021,2021-12-22,22,"13,00",13000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,21/22,Sebastiaan Bornauw
10.2021,2021-10-07,22,"14,00",14000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,21/22,Sebastiaan Bornauw
06.2021,2021-06-09,22,"12,00",12000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,20/21,Sebastiaan Bornauw
02.2021,2021-02-10,21,"12,00",12000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,20/21,Sebastiaan Bornauw
09.2020,2020-09-16,21,"13,00",13000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,20/21,Sebastiaan Bornauw
04.2020,2020-04-08,21,"11,00",11000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,19/20,Sebastiaan Bornauw
03.2020,2020-03-11,20,"12,00",12000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,19/20,Sebastiaan Bornauw
12.2019,2019-12-17,20,"7,00",7000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,19/20,Sebastiaan Bornauw
10.2019,2019-10-02,20,"6,50",6500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,19/20,Sebastiaan Bornauw
06.2019,2019-06-10,20,"4,00",4000000,€,Mio.,58,RSC Anderlecht,RSC Anderlecht,https://tmssl.akamaized.net/images/wappen/medium/58.png?lm=1443857722,18/19,Sebastiaan Bornauw
12.2018,2018-12-27,19,"2,20",2200000,€,Mio.,58,RSC Anderlecht,RSC Anderlecht,https://tmssl.akamaized.net/images/wappen/medium/58.png?lm=1443857722,18/19,Sebastiaan Bornauw
09.2018,2018-09-11,19,"1,00",1000000,€,Mio.,58,RSC Anderlecht,RSC Anderlecht,https://tmssl.akamaized.net/images/wappen/medium/58.png?lm=1443857722,18/19,Sebastiaan Bornauw
08.2018,2018-08-01,19,600,600000,€,Tsd.,58,RSC Anderlecht,RSC Anderlecht,https://tmssl.akamaized.net/images/wappen/medium/58.png?lm=1443857722,18/19,Sebastiaan Bornauw
