date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,20,"5,00",5000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,22/23,Sepp van den Berg
05.2022,2022-05-13,20,"5,00",5000000,€,Mio.,466,Preston North End,Preston NE,https://tmssl.akamaized.net/images/wappen/medium/466.png?lm=1414769167,21/22,Sepp van den Berg
11.2021,2021-11-24,19,"3,00",3000000,€,Mio.,466,Preston North End,Preston NE,https://tmssl.akamaized.net/images/wappen/medium/466.png?lm=1414769167,21/22,Sepp van den Berg
06.2021,2021-06-30,19,"2,50",2500000,€,Mio.,466,Preston North End,Preston NE,https://tmssl.akamaized.net/images/wappen/medium/466.png?lm=1414769167,20/21,Sepp van den Berg
03.2021,2021-03-10,19,"2,00",2000000,€,Mio.,466,Preston North End,Preston NE,https://tmssl.akamaized.net/images/wappen/medium/466.png?lm=1414769167,20/21,Sepp van den Berg
10.2020,2020-10-13,18,"1,80",1800000,€,Mio.,31,FC Liverpool,Liverpool,https://tmssl.akamaized.net/images/wappen/medium/31.png?lm=1456567819,20/21,Sepp van den Berg
04.2020,2020-04-08,18,"1,80",1800000,€,Mio.,31,FC Liverpool,Liverpool,https://tmssl.akamaized.net/images/wappen/medium/31.png?lm=1456567819,19/20,Sepp van den Berg
06.2019,2019-06-12,17,"2,00",2000000,€,Mio.,1269,PEC Zwolle,PEC Zwolle,https://tmssl.akamaized.net/images/wappen/medium/1269.png?lm=1610790473,18/19,Sepp van den Berg
12.2018,2018-12-28,17,"2,00",2000000,€,Mio.,1269,PEC Zwolle,PEC Zwolle,https://tmssl.akamaized.net/images/wappen/medium/1269.png?lm=1610790473,18/19,Sepp van den Berg
10.2018,2018-10-04,16,"1,00",1000000,€,Mio.,1269,PEC Zwolle,PEC Zwolle,https://tmssl.akamaized.net/images/wappen/medium/1269.png?lm=1610790473,18/19,Sepp van den Berg
06.2018,2018-06-12,16,500,500000,€,Tsd.,15587,PEC Zwolle U19,PEC Zwolle U19,https://tmssl.akamaized.net/images/wappen/medium/15587.png?lm=1610790474,17/18,Sepp van den Berg
03.2018,2018-03-11,16,100,100000,€,Tsd.,15587,PEC Zwolle U19,PEC Zwolle U19,https://tmssl.akamaized.net/images/wappen/medium/15587.png?lm=1610790474,17/18,Sepp van den Berg
