date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,23,"8,50",8500000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,22/23,Stanley Nsoki
09.2022,2022-09-21,23,"10,00",10000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,22/23,Stanley Nsoki
05.2022,2022-05-26,23,"7,00",7000000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,21/22,Stanley Nsoki
04.2022,2022-04-12,23,"6,50",6500000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,21/22,Stanley Nsoki
01.2022,2022-01-06,22,"5,00",5000000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,21/22,Stanley Nsoki
10.2021,2021-10-06,22,"6,00",6000000,€,Mio.,2282,FC Brügge,FC Brügge,https://tmssl.akamaized.net/images/wappen/medium/2282.png?lm=1448474251,21/22,Stanley Nsoki
06.2021,2021-06-04,22,"5,00",5000000,€,Mio.,417,OGC Nizza,OGC Nizza,https://tmssl.akamaized.net/images/wappen/medium/417.png?lm=1408779490,20/21,Stanley Nsoki
04.2021,2021-04-09,22,"6,50",6500000,€,Mio.,417,OGC Nizza,OGC Nizza,https://tmssl.akamaized.net/images/wappen/medium/417.png?lm=1408779490,20/21,Stanley Nsoki
01.2021,2021-01-07,21,"7,00",7000000,€,Mio.,417,OGC Nizza,OGC Nizza,https://tmssl.akamaized.net/images/wappen/medium/417.png?lm=1408779490,20/21,Stanley Nsoki
10.2020,2020-10-15,21,"8,00",8000000,€,Mio.,417,OGC Nizza,OGC Nizza,https://tmssl.akamaized.net/images/wappen/medium/417.png?lm=1408779490,20/21,Stanley Nsoki
04.2020,2020-04-08,20,"11,00",11000000,€,Mio.,417,OGC Nizza,OGC Nizza,https://tmssl.akamaized.net/images/wappen/medium/417.png?lm=1408779490,19/20,Stanley Nsoki
03.2020,2020-03-13,20,"12,00",12000000,€,Mio.,417,OGC Nizza,OGC Nizza,https://tmssl.akamaized.net/images/wappen/medium/417.png?lm=1408779490,19/20,Stanley Nsoki
12.2019,2019-12-19,20,"10,00",10000000,€,Mio.,417,OGC Nizza,OGC Nizza,https://tmssl.akamaized.net/images/wappen/medium/417.png?lm=1408779490,19/20,Stanley Nsoki
06.2019,2019-06-03,20,"8,50",8500000,€,Mio.,583,FC Paris Saint-Germain,Paris SG,https://tmssl.akamaized.net/images/wappen/medium/583.png?lm=1522312728,18/19,Stanley Nsoki
03.2019,2019-03-07,19,"8,50",8500000,€,Mio.,583,FC Paris Saint-Germain,Paris SG,https://tmssl.akamaized.net/images/wappen/medium/583.png?lm=1522312728,18/19,Stanley Nsoki
12.2018,2018-12-17,19,"5,00",5000000,€,Mio.,583,FC Paris Saint-Germain,Paris SG,https://tmssl.akamaized.net/images/wappen/medium/583.png?lm=1522312728,18/19,Stanley Nsoki
09.2018,2018-09-06,19,"5,00",5000000,€,Mio.,583,FC Paris Saint-Germain,Paris SG,https://tmssl.akamaized.net/images/wappen/medium/583.png?lm=1522312728,18/19,Stanley Nsoki
