date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,26,"5,00",5000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,22/23,Timo Baumgartl
06.2022,2022-06-09,26,"5,00",5000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,21/22,Timo Baumgartl
12.2021,2021-12-22,25,"5,00",5000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,21/22,Timo Baumgartl
05.2021,2021-05-19,25,"3,00",3000000,€,Mio.,383,PSV Eindhoven,PSV Eindhoven,https://tmssl.akamaized.net/images/wappen/medium/383.png?lm=1626929299,20/21,Timo Baumgartl
03.2021,2021-03-09,25,"3,50",3500000,€,Mio.,383,PSV Eindhoven,PSV Eindhoven,https://tmssl.akamaized.net/images/wappen/medium/383.png?lm=1626929299,20/21,Timo Baumgartl
10.2020,2020-10-14,24,"4,00",4000000,€,Mio.,383,PSV Eindhoven,PSV Eindhoven,https://tmssl.akamaized.net/images/wappen/medium/383.png?lm=1626929299,20/21,Timo Baumgartl
04.2020,2020-04-08,24,"5,50",5500000,€,Mio.,383,PSV Eindhoven,PSV Eindhoven,https://tmssl.akamaized.net/images/wappen/medium/383.png?lm=1626929299,19/20,Timo Baumgartl
03.2020,2020-03-12,24,"7,00",7000000,€,Mio.,383,PSV Eindhoven,PSV Eindhoven,https://tmssl.akamaized.net/images/wappen/medium/383.png?lm=1626929299,19/20,Timo Baumgartl
12.2019,2019-12-18,23,"9,00",9000000,€,Mio.,383,PSV Eindhoven,PSV Eindhoven,https://tmssl.akamaized.net/images/wappen/medium/383.png?lm=1626929299,19/20,Timo Baumgartl
06.2019,2019-06-05,23,"9,00",9000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,18/19,Timo Baumgartl
12.2018,2018-12-18,22,"15,00",15000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,18/19,Timo Baumgartl
06.2018,2018-06-05,22,"12,00",12000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,17/18,Timo Baumgartl
04.2018,2018-04-04,22,"10,00",10000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,17/18,Timo Baumgartl
12.2017,2017-12-28,21,"6,00",6000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,17/18,Timo Baumgartl
06.2017,2017-06-27,21,"4,00",4000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,16/17,Timo Baumgartl
01.2017,2017-01-23,20,"3,50",3500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,16/17,Timo Baumgartl
07.2016,2016-07-22,20,"3,50",3500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,16/17,Timo Baumgartl
02.2016,2016-02-15,19,"3,50",3500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,15/16,Timo Baumgartl
10.2015,2015-10-16,19,"4,00",4000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,15/16,Timo Baumgartl
07.2015,2015-07-01,19,"2,50",2500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,15/16,Timo Baumgartl
02.2015,2015-02-04,18,"1,20",1200000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,14/15,Timo Baumgartl
11.2014,2014-11-08,18,600,600000,€,Tsd.,102,VfB Stuttgart II,Stuttgart II,https://tmssl.akamaized.net/images/wappen/medium/102.png?lm=1656582657,14/15,Timo Baumgartl
06.2014,2014-06-30,18,200,200000,€,Tsd.,2517,VfB Stuttgart U19,Stuttgart U19,https://tmssl.akamaized.net/images/wappen/medium/2517.png?lm=1656582657,13/14,Timo Baumgartl
04.2014,2014-04-17,18,150,150000,€,Tsd.,2517,VfB Stuttgart U19,Stuttgart U19,https://tmssl.akamaized.net/images/wappen/medium/2517.png?lm=1656582657,13/14,Timo Baumgartl
01.2014,2014-01-30,17,-,0,€,,2517,VfB Stuttgart U19,Stuttgart U19,https://tmssl.akamaized.net/images/wappen/medium/2517.png?lm=1656582657,13/14,Timo Baumgartl
