date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,26,"7,50",7500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,22/23,Timo Hübers
06.2022,2022-06-09,25,"7,50",7500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,21/22,Timo Hübers
03.2022,2022-03-24,25,"3,00",3000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,21/22,Timo Hübers
12.2021,2021-12-22,25,"1,50",1500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,21/22,Timo Hübers
06.2021,2021-06-16,24,"1,80",1800000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,20/21,Timo Hübers
03.2021,2021-03-29,24,"1,80",1800000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,20/21,Timo Hübers
02.2021,2021-02-08,24,"1,50",1500000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,20/21,Timo Hübers
11.2020,2020-11-18,24,"1,20",1200000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,20/21,Timo Hübers
07.2020,2020-07-15,23,750,750000,€,Tsd.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,20/21,Timo Hübers
04.2020,2020-04-08,23,400,400000,€,Tsd.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,19/20,Timo Hübers
04.2020,2020-04-02,23,500,500000,€,Tsd.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,19/20,Timo Hübers
12.2019,2019-12-13,23,300,300000,€,Tsd.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,19/20,Timo Hübers
06.2019,2019-06-05,22,750,750000,€,Tsd.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,18/19,Timo Hübers
12.2018,2018-12-18,22,750,750000,€,Tsd.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,18/19,Timo Hübers
06.2018,2018-06-05,21,750,750000,€,Tsd.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,17/18,Timo Hübers
12.2017,2017-12-28,21,125,125000,€,Tsd.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,17/18,Timo Hübers
06.2017,2017-06-27,20,100,100000,€,Tsd.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,16/17,Timo Hübers
01.2017,2017-01-23,20,100,100000,€,Tsd.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,16/17,Timo Hübers
07.2016,2016-07-22,20,100,100000,€,Tsd.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,16/17,Timo Hübers
01.2016,2016-01-15,19,75,75000,€,Tsd.,438,1.FC Köln II,1.FC Köln II,https://tmssl.akamaized.net/images/wappen/medium/438.png?lm=1656580823,15/16,Timo Hübers
07.2015,2015-07-01,18,50,50000,€,Tsd.,438,1.FC Köln II,1.FC Köln II,https://tmssl.akamaized.net/images/wappen/medium/438.png?lm=1656580823,15/16,Timo Hübers
