date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
10.2022,2022-10-07,31,"2,00",2000000,€,Mio.,515,Vereinslos,Vereinslos,https://tmssl.akamaized.net/images/wappen/medium/515.png?lm=1456997255,22/23,Timothée Kolodziejczak
05.2022,2022-05-30,30,"2,50",2500000,€,Mio.,618,AS Saint-Étienne,AS St.-Étienne,https://tmssl.akamaized.net/images/wappen/medium/618.png?lm=1658260152,21/22,Timothée Kolodziejczak
12.2021,2021-12-16,30,"3,50",3500000,€,Mio.,618,AS Saint-Étienne,AS St.-Étienne,https://tmssl.akamaized.net/images/wappen/medium/618.png?lm=1658260152,21/22,Timothée Kolodziejczak
06.2021,2021-06-04,29,"4,00",4000000,€,Mio.,618,AS Saint-Étienne,AS St.-Étienne,https://tmssl.akamaized.net/images/wappen/medium/618.png?lm=1658260152,20/21,Timothée Kolodziejczak
01.2021,2021-01-07,29,"4,00",4000000,€,Mio.,618,AS Saint-Étienne,AS St.-Étienne,https://tmssl.akamaized.net/images/wappen/medium/618.png?lm=1658260152,20/21,Timothée Kolodziejczak
10.2020,2020-10-15,29,"4,50",4500000,€,Mio.,618,AS Saint-Étienne,AS St.-Étienne,https://tmssl.akamaized.net/images/wappen/medium/618.png?lm=1658260152,20/21,Timothée Kolodziejczak
04.2020,2020-04-08,28,"4,80",4800000,€,Mio.,618,AS Saint-Étienne,AS St.-Étienne,https://tmssl.akamaized.net/images/wappen/medium/618.png?lm=1658260152,19/20,Timothée Kolodziejczak
12.2019,2019-12-19,28,"6,00",6000000,€,Mio.,618,AS Saint-Étienne,AS St.-Étienne,https://tmssl.akamaized.net/images/wappen/medium/618.png?lm=1658260152,19/20,Timothée Kolodziejczak
06.2019,2019-06-03,27,"6,00",6000000,€,Mio.,618,AS Saint-Étienne,AS St.-Étienne,https://tmssl.akamaized.net/images/wappen/medium/618.png?lm=1658260152,18/19,Timothée Kolodziejczak
12.2018,2018-12-17,27,"6,00",6000000,€,Mio.,618,AS Saint-Étienne,AS St.-Étienne,https://tmssl.akamaized.net/images/wappen/medium/618.png?lm=1658260152,18/19,Timothée Kolodziejczak
10.2018,2018-10-24,27,"4,00",4000000,€,Mio.,618,AS Saint-Étienne,AS St.-Étienne,https://tmssl.akamaized.net/images/wappen/medium/618.png?lm=1658260152,18/19,Timothée Kolodziejczak
04.2018,2018-04-10,26,"2,50",2500000,€,Mio.,7055,Tigres UANL,Tigres UANL,https://tmssl.akamaized.net/images/wappen/medium/7055.png?lm=1673098434,17/18,Timothée Kolodziejczak
