date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,23,"15,00",15000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,22/23,Tuta
06.2022,2022-06-09,22,"13,00",13000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Tuta
03.2022,2022-03-24,22,"10,00",10000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Tuta
12.2021,2021-12-22,22,"7,50",7500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Tuta
10.2021,2021-10-07,22,"6,00",6000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Tuta
06.2021,2021-06-09,21,"9,00",9000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Tuta
03.2021,2021-03-31,21,"7,50",7500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Tuta
02.2021,2021-02-10,21,"4,00",4000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Tuta
04.2020,2020-04-08,20,"2,00",2000000,€,Mio.,601,KV Kortrijk,KV Kortrijk,https://tmssl.akamaized.net/images/wappen/medium/601.png?lm=1534260191,19/20,Tuta
03.2020,2020-03-30,20,"2,20",2200000,€,Mio.,601,KV Kortrijk,KV Kortrijk,https://tmssl.akamaized.net/images/wappen/medium/601.png?lm=1534260191,19/20,Tuta
12.2019,2019-12-13,20,"1,20",1200000,€,Mio.,601,KV Kortrijk,KV Kortrijk,https://tmssl.akamaized.net/images/wappen/medium/601.png?lm=1534260191,19/20,Tuta
09.2019,2019-09-13,20,"1,20",1200000,€,Mio.,601,KV Kortrijk,KV Kortrijk,https://tmssl.akamaized.net/images/wappen/medium/601.png?lm=1534260191,19/20,Tuta
06.2019,2019-06-05,19,"1,80",1800000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,18/19,Tuta
02.2019,2019-02-10,19,"1,80",1800000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,18/19,Tuta
