date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,26,"4,50",4500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,22/23,Waldemar Anton
06.2022,2022-06-09,25,"6,00",6000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,21/22,Waldemar Anton
03.2022,2022-03-24,25,"6,00",6000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,21/22,Waldemar Anton
12.2021,2021-12-22,25,"7,50",7500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,21/22,Waldemar Anton
06.2021,2021-06-09,24,"9,00",9000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Waldemar Anton
02.2021,2021-02-10,24,"7,00",7000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Waldemar Anton
04.2020,2020-04-08,23,"5,50",5500000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,19/20,Waldemar Anton
04.2020,2020-04-02,23,"7,00",7000000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,19/20,Waldemar Anton
12.2019,2019-12-13,23,"8,00",8000000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,19/20,Waldemar Anton
09.2019,2019-09-25,23,"8,50",8500000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,19/20,Waldemar Anton
06.2019,2019-06-05,22,"12,00",12000000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,18/19,Waldemar Anton
03.2019,2019-03-06,22,"12,00",12000000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,18/19,Waldemar Anton
12.2018,2018-12-18,22,"15,00",15000000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,18/19,Waldemar Anton
08.2018,2018-08-22,22,"15,00",15000000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,18/19,Waldemar Anton
06.2018,2018-06-05,21,"12,00",12000000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,17/18,Waldemar Anton
04.2018,2018-04-04,21,"10,00",10000000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,17/18,Waldemar Anton
12.2017,2017-12-28,21,"6,50",6500000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,17/18,Waldemar Anton
10.2017,2017-10-18,21,"4,00",4000000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,17/18,Waldemar Anton
06.2017,2017-06-27,20,"2,50",2500000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,16/17,Waldemar Anton
01.2017,2017-01-23,20,"1,50",1500000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,16/17,Waldemar Anton
10.2016,2016-10-06,20,"1,00",1000000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,16/17,Waldemar Anton
07.2016,2016-07-22,20,500,500000,€,Tsd.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,16/17,Waldemar Anton
02.2016,2016-02-15,19,100,100000,€,Tsd.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,15/16,Waldemar Anton
07.2015,2015-07-01,18,100,100000,€,Tsd.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,15/16,Waldemar Anton
