date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,30,"10,00",10000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,22/23,Willi Orbán
06.2022,2022-06-09,29,"10,00",10000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,21/22,Willi Orbán
12.2021,2021-12-22,29,"14,00",14000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,21/22,Willi Orbán
06.2021,2021-06-01,28,"16,00",16000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Willi Orbán
02.2021,2021-02-10,28,"14,00",14000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Willi Orbán
09.2020,2020-09-16,27,"12,00",12000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Willi Orbán
04.2020,2020-04-08,27,"16,00",16000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,19/20,Willi Orbán
12.2019,2019-12-17,27,"20,00",20000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,19/20,Willi Orbán
06.2019,2019-06-05,26,"20,00",20000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,18/19,Willi Orbán
12.2018,2018-12-18,26,"15,00",15000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,18/19,Willi Orbán
06.2018,2018-06-05,25,"15,00",15000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,17/18,Willi Orbán
04.2018,2018-04-04,25,"15,00",15000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,17/18,Willi Orbán
12.2017,2017-12-28,25,"10,00",10000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,17/18,Willi Orbán
06.2017,2017-06-19,24,"8,00",8000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,16/17,Willi Orbán
02.2017,2017-02-07,24,"6,00",6000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,16/17,Willi Orbán
07.2016,2016-07-22,23,"3,00",3000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,16/17,Willi Orbán
02.2016,2016-02-11,23,"2,50",2500000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,15/16,Willi Orbán
07.2015,2015-07-01,22,"2,50",2500000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,15/16,Willi Orbán
03.2015,2015-03-29,22,"1,80",1800000,€,Mio.,2,1.FC Kaiserslautern,1.FC K'lautern,https://tmssl.akamaized.net/images/wappen/medium/2.png?lm=1580920736,14/15,Willi Orbán
01.2015,2015-01-13,22,"1,50",1500000,€,Mio.,2,1.FC Kaiserslautern,1.FC K'lautern,https://tmssl.akamaized.net/images/wappen/medium/2.png?lm=1580920736,14/15,Willi Orbán
06.2014,2014-06-30,21,900,900000,€,Tsd.,2,1.FC Kaiserslautern,1.FC K'lautern,https://tmssl.akamaized.net/images/wappen/medium/2.png?lm=1580920736,13/14,Willi Orbán
01.2014,2014-01-20,21,900,900000,€,Tsd.,2,1.FC Kaiserslautern,1.FC K'lautern,https://tmssl.akamaized.net/images/wappen/medium/2.png?lm=1580920736,13/14,Willi Orbán
10.2013,2013-10-14,20,900,900000,€,Tsd.,2,1.FC Kaiserslautern,1.FC K'lautern,https://tmssl.akamaized.net/images/wappen/medium/2.png?lm=1580920736,13/14,Willi Orbán
