date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,24,"17,00",17000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,22/23,Amadou Haidara
09.2022,2022-09-21,24,"20,00",20000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,22/23,Amadou Haidara
06.2022,2022-06-09,24,"24,00",24000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,21/22,Amadou Haidara
12.2021,2021-12-22,23,"24,00",24000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,21/22,Amadou Haidara
06.2021,2021-06-09,23,"24,00",24000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Amadou Haidara
02.2021,2021-02-10,23,"22,00",22000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Amadou Haidara
11.2020,2020-11-26,22,"18,00",18000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Amadou Haidara
04.2020,2020-04-08,22,"15,50",15500000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,19/20,Amadou Haidara
12.2019,2019-12-17,21,"17,00",17000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,19/20,Amadou Haidara
06.2019,2019-06-05,21,"20,00",20000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,18/19,Amadou Haidara
12.2018,2018-12-19,20,"20,00",20000000,€,Mio.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,18/19,Amadou Haidara
06.2018,2018-06-14,20,"15,00",15000000,€,Mio.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,17/18,Amadou Haidara
03.2018,2018-03-30,20,"5,00",5000000,€,Mio.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,17/18,Amadou Haidara
01.2018,2018-01-02,19,"3,00",3000000,€,Mio.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,17/18,Amadou Haidara
10.2017,2017-10-11,19,"1,75",1750000,€,Mio.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,17/18,Amadou Haidara
08.2017,2017-08-01,19,800,800000,€,Tsd.,409,Red Bull Salzburg,RB Salzburg,https://tmssl.akamaized.net/images/wappen/medium/409.png?lm=1557737354,17/18,Amadou Haidara
05.2017,2017-05-27,19,600,600000,€,Tsd.,37024,FC Liefering,FC Liefering,https://tmssl.akamaized.net/images/wappen/medium/37024.png?lm=1427361240,16/17,Amadou Haidara
12.2016,2016-12-03,18,300,300000,€,Tsd.,37024,FC Liefering,FC Liefering,https://tmssl.akamaized.net/images/wappen/medium/37024.png?lm=1427361240,16/17,Amadou Haidara
07.2016,2016-07-29,18,100,100000,€,Tsd.,37024,FC Liefering,FC Liefering,https://tmssl.akamaized.net/images/wappen/medium/37024.png?lm=1427361240,16/17,Amadou Haidara
