date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,23,"5,00",5000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,22/23,András Schäfer
06.2022,2022-06-09,23,"2,00",2000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,21/22,András Schäfer
12.2021,2021-12-26,22,"1,60",1600000,€,Mio.,4529,DAC Dunajska Streda,Dunajska Streda,https://tmssl.akamaized.net/images/wappen/medium/4529.png?lm=1658147404,21/22,András Schäfer
07.2021,2021-07-15,22,"1,50",1500000,€,Mio.,4529,DAC Dunajska Streda,Dunajska Streda,https://tmssl.akamaized.net/images/wappen/medium/4529.png?lm=1658147404,21/22,András Schäfer
06.2021,2021-06-01,22,700,700000,€,Tsd.,4529,DAC Dunajska Streda,Dunajska Streda,https://tmssl.akamaized.net/images/wappen/medium/4529.png?lm=1658147404,20/21,András Schäfer
12.2020,2020-12-28,21,550,550000,€,Tsd.,4529,DAC Dunajska Streda,Dunajska Streda,https://tmssl.akamaized.net/images/wappen/medium/4529.png?lm=1658147404,20/21,András Schäfer
07.2020,2020-07-10,21,400,400000,€,Tsd.,4529,DAC Dunajska Streda,Dunajska Streda,https://tmssl.akamaized.net/images/wappen/medium/4529.png?lm=1658147404,20/21,András Schäfer
04.2020,2020-04-08,20,350,350000,€,Tsd.,4529,DAC Dunajska Streda,Dunajska Streda,https://tmssl.akamaized.net/images/wappen/medium/4529.png?lm=1658147404,19/20,András Schäfer
12.2019,2019-12-30,20,400,400000,€,Tsd.,862,Chievo Verona,Chievo Verona,https://tmssl.akamaized.net/images/wappen/medium/862.png?lm=1454498424,19/20,András Schäfer
06.2019,2019-06-06,20,400,400000,€,Tsd.,252,Genua CFC,Genua CFC,https://tmssl.akamaized.net/images/wappen/medium/252.png?lm=1655305880,18/19,András Schäfer
01.2019,2019-01-05,19,400,400000,€,Tsd.,634,MTK Budapest,MTK Budapest,https://tmssl.akamaized.net/images/wappen/medium/634.png?lm=1471454144,18/19,András Schäfer
03.2018,2018-03-15,18,175,175000,€,Tsd.,634,MTK Budapest,MTK Budapest,https://tmssl.akamaized.net/images/wappen/medium/634.png?lm=1471454144,17/18,András Schäfer
10.2017,2017-10-06,18,150,150000,€,Tsd.,634,MTK Budapest,MTK Budapest,https://tmssl.akamaized.net/images/wappen/medium/634.png?lm=1471454144,17/18,András Schäfer
