date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,21,"6,00",6000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,22/23,Angelo Stiller
06.2022,2022-06-09,21,"7,00",7000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,21/22,Angelo Stiller
03.2022,2022-03-24,20,"6,00",6000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,21/22,Angelo Stiller
12.2021,2021-12-22,20,"4,00",4000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,21/22,Angelo Stiller
10.2021,2021-10-07,20,"3,50",3500000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,21/22,Angelo Stiller
06.2021,2021-06-14,20,"2,50",2500000,€,Mio.,28,FC Bayern München II,B. München II,https://tmssl.akamaized.net/images/wappen/medium/28.png?lm=1498251238,20/21,Angelo Stiller
01.2021,2021-01-20,19,"2,50",2500000,€,Mio.,28,FC Bayern München II,B. München II,https://tmssl.akamaized.net/images/wappen/medium/28.png?lm=1498251238,20/21,Angelo Stiller
11.2020,2020-11-11,19,"2,00",2000000,€,Mio.,28,FC Bayern München II,B. München II,https://tmssl.akamaized.net/images/wappen/medium/28.png?lm=1498251238,20/21,Angelo Stiller
07.2020,2020-07-17,19,"1,30",1300000,€,Mio.,28,FC Bayern München II,B. München II,https://tmssl.akamaized.net/images/wappen/medium/28.png?lm=1498251238,20/21,Angelo Stiller
04.2020,2020-04-08,19,400,400000,€,Tsd.,28,FC Bayern München II,B. München II,https://tmssl.akamaized.net/images/wappen/medium/28.png?lm=1498251238,19/20,Angelo Stiller
04.2020,2020-04-03,18,450,450000,€,Tsd.,28,FC Bayern München II,B. München II,https://tmssl.akamaized.net/images/wappen/medium/28.png?lm=1498251238,19/20,Angelo Stiller
01.2020,2020-01-01,18,200,200000,€,Tsd.,28,FC Bayern München II,B. München II,https://tmssl.akamaized.net/images/wappen/medium/28.png?lm=1498251238,19/20,Angelo Stiller
