date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,36,500,500000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,22/23,Anthony Losilla
06.2022,2022-06-09,36,500,500000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,21/22,Anthony Losilla
12.2021,2021-12-22,35,500,500000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,21/22,Anthony Losilla
06.2021,2021-06-16,35,350,350000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,20/21,Anthony Losilla
02.2021,2021-02-08,34,350,350000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,20/21,Anthony Losilla
04.2020,2020-04-08,34,325,325000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,19/20,Anthony Losilla
12.2019,2019-12-13,33,400,400000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,19/20,Anthony Losilla
06.2019,2019-06-12,33,400,400000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,18/19,Anthony Losilla
01.2019,2019-01-08,32,500,500000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,18/19,Anthony Losilla
06.2018,2018-06-19,32,500,500000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,17/18,Anthony Losilla
01.2018,2018-01-22,31,600,600000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,17/18,Anthony Losilla
06.2017,2017-06-27,31,700,700000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,16/17,Anthony Losilla
01.2017,2017-01-23,30,800,800000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,16/17,Anthony Losilla
07.2016,2016-07-22,30,900,900000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,16/17,Anthony Losilla
02.2016,2016-02-11,29,900,900000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,15/16,Anthony Losilla
07.2015,2015-07-01,29,800,800000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,15/16,Anthony Losilla
01.2015,2015-01-13,28,750,750000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,14/15,Anthony Losilla
06.2014,2014-06-30,28,650,650000,€,Tsd.,129,SG Dynamo Dresden,Dynamo Dresden,https://tmssl.akamaized.net/images/wappen/medium/129.png?lm=1403259018,13/14,Anthony Losilla
01.2014,2014-01-20,27,900,900000,€,Tsd.,129,SG Dynamo Dresden,Dynamo Dresden,https://tmssl.akamaized.net/images/wappen/medium/129.png?lm=1403259018,13/14,Anthony Losilla
06.2013,2013-06-29,27,900,900000,€,Tsd.,129,SG Dynamo Dresden,Dynamo Dresden,https://tmssl.akamaized.net/images/wappen/medium/129.png?lm=1403259018,12/13,Anthony Losilla
01.2013,2013-01-04,26,800,800000,€,Tsd.,129,SG Dynamo Dresden,Dynamo Dresden,https://tmssl.akamaized.net/images/wappen/medium/129.png?lm=1403259018,12/13,Anthony Losilla
10.2012,2012-10-23,26,800,800000,€,Tsd.,129,SG Dynamo Dresden,Dynamo Dresden,https://tmssl.akamaized.net/images/wappen/medium/129.png?lm=1403259018,12/13,Anthony Losilla
06.2012,2012-06-01,26,600,600000,€,Tsd.,1080,Stade Laval,Stade Laval,https://tmssl.akamaized.net/images/wappen/medium/1080.png?lm=1654627738,11/12,Anthony Losilla
12.2011,2011-12-25,25,500,500000,€,Tsd.,1080,Stade Laval,Stade Laval,https://tmssl.akamaized.net/images/wappen/medium/1080.png?lm=1654627738,11/12,Anthony Losilla
05.2011,2011-05-30,25,500,500000,€,Tsd.,1080,Stade Laval,Stade Laval,https://tmssl.akamaized.net/images/wappen/medium/1080.png?lm=1654627738,10/11,Anthony Losilla
10.2010,2010-10-24,24,450,450000,€,Tsd.,1080,Stade Laval,Stade Laval,https://tmssl.akamaized.net/images/wappen/medium/1080.png?lm=1654627738,10/11,Anthony Losilla
08.2010,2010-08-01,24,200,200000,€,Tsd.,1080,Stade Laval,Stade Laval,https://tmssl.akamaized.net/images/wappen/medium/1080.png?lm=1654627738,10/11,Anthony Losilla
