date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,23,"15,00",15000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,22/23,Anton Stach
06.2022,2022-06-09,23,"13,00",13000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,21/22,Anton Stach
03.2022,2022-03-24,23,"8,00",8000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,21/22,Anton Stach
12.2021,2021-12-22,23,"4,00",4000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,21/22,Anton Stach
10.2021,2021-10-07,22,"3,50",3500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,21/22,Anton Stach
06.2021,2021-06-16,22,"2,50",2500000,€,Mio.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,20/21,Anton Stach
03.2021,2021-03-29,22,"1,00",1000000,€,Mio.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,20/21,Anton Stach
02.2021,2021-02-08,22,500,500000,€,Tsd.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,20/21,Anton Stach
07.2020,2020-07-15,21,200,200000,€,Tsd.,65,SpVgg Greuther Fürth,Greuther Fürth,https://tmssl.akamaized.net/images/wappen/medium/65.png?lm=1503682935,20/21,Anton Stach
02.2020,2020-02-20,21,125,125000,€,Tsd.,143,VfL Wolfsburg II (- 2021),Wolfsburg II,https://tmssl.akamaized.net/images/wappen/medium/143.png?lm=1616796625,19/20,Anton Stach
07.2019,2019-07-28,20,75,75000,€,Tsd.,143,VfL Wolfsburg II (- 2021),Wolfsburg II,https://tmssl.akamaized.net/images/wappen/medium/143.png?lm=1616796625,19/20,Anton Stach
02.2019,2019-02-24,20,75,75000,€,Tsd.,143,VfL Wolfsburg II (- 2021),Wolfsburg II,https://tmssl.akamaized.net/images/wappen/medium/143.png?lm=1616796625,18/19,Anton Stach
08.2018,2018-08-08,19,100,100000,€,Tsd.,143,VfL Wolfsburg II (- 2021),Wolfsburg II,https://tmssl.akamaized.net/images/wappen/medium/143.png?lm=1616796625,18/19,Anton Stach
02.2018,2018-02-09,19,75,75000,€,Tsd.,6776,SSV Jeddeloh II,SSV Jeddeloh II,https://tmssl.akamaized.net/images/wappen/medium/6776.png?lm=1664615818,17/18,Anton Stach
09.2017,2017-09-27,18,50,50000,€,Tsd.,6776,SSV Jeddeloh II,SSV Jeddeloh II,https://tmssl.akamaized.net/images/wappen/medium/6776.png?lm=1664615818,17/18,Anton Stach
08.2017,2017-08-02,18,25,25000,€,Tsd.,6776,SSV Jeddeloh II,SSV Jeddeloh II,https://tmssl.akamaized.net/images/wappen/medium/6776.png?lm=1664615818,17/18,Anton Stach
