date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,23,"5,50",5500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,22/23,Arne Maier
06.2022,2022-06-09,23,"5,50",5500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,21/22,Arne Maier
12.2021,2021-12-22,22,"5,00",5000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,21/22,Arne Maier
10.2021,2021-10-07,22,"5,00",5000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,21/22,Arne Maier
06.2021,2021-06-09,22,"7,00",7000000,€,Mio.,10,Arminia Bielefeld,Arm. Bielefeld,https://tmssl.akamaized.net/images/wappen/medium/10.png?lm=1629204733,20/21,Arne Maier
02.2021,2021-02-10,22,"5,00",5000000,€,Mio.,10,Arminia Bielefeld,Arm. Bielefeld,https://tmssl.akamaized.net/images/wappen/medium/10.png?lm=1629204733,20/21,Arne Maier
11.2020,2020-11-26,21,"10,00",10000000,€,Mio.,10,Arminia Bielefeld,Arm. Bielefeld,https://tmssl.akamaized.net/images/wappen/medium/10.png?lm=1629204733,20/21,Arne Maier
09.2020,2020-09-16,21,"13,50",13500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,20/21,Arne Maier
04.2020,2020-04-08,21,"15,50",15500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,19/20,Arne Maier
03.2020,2020-03-11,21,"17,00",17000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,19/20,Arne Maier
12.2019,2019-12-17,20,"20,00",20000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,19/20,Arne Maier
06.2019,2019-06-05,20,"24,00",24000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,18/19,Arne Maier
03.2019,2019-03-06,20,"22,00",22000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,18/19,Arne Maier
12.2018,2018-12-18,19,"15,00",15000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,18/19,Arne Maier
10.2018,2018-10-22,19,"15,00",15000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,18/19,Arne Maier
06.2018,2018-06-05,19,"7,50",7500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,17/18,Arne Maier
04.2018,2018-04-04,19,"7,50",7500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,17/18,Arne Maier
12.2017,2017-12-28,18,"2,50",2500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,17/18,Arne Maier
07.2017,2017-07-12,18,200,200000,€,Tsd.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,17/18,Arne Maier
