date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,26,"4,50",4500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,22/23,Atakan Karazor
06.2022,2022-06-09,25,"4,50",4500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,21/22,Atakan Karazor
12.2021,2021-12-22,25,"3,50",3500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,21/22,Atakan Karazor
06.2021,2021-06-09,24,"2,00",2000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Atakan Karazor
02.2021,2021-02-10,24,"2,00",2000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Atakan Karazor
11.2020,2020-11-26,24,"2,00",2000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Atakan Karazor
07.2020,2020-07-15,23,"1,00",1000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,20/21,Atakan Karazor
04.2020,2020-04-08,23,800,800000,€,Tsd.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,19/20,Atakan Karazor
12.2019,2019-12-13,23,"1,00",1000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,19/20,Atakan Karazor
06.2019,2019-06-12,22,"1,00",1000000,€,Mio.,269,Holstein Kiel,Holstein Kiel,https://tmssl.akamaized.net/images/wappen/medium/269.png?lm=1544480289,18/19,Atakan Karazor
03.2019,2019-03-13,22,650,650000,€,Tsd.,269,Holstein Kiel,Holstein Kiel,https://tmssl.akamaized.net/images/wappen/medium/269.png?lm=1544480289,18/19,Atakan Karazor
01.2019,2019-01-08,22,300,300000,€,Tsd.,269,Holstein Kiel,Holstein Kiel,https://tmssl.akamaized.net/images/wappen/medium/269.png?lm=1544480289,18/19,Atakan Karazor
06.2018,2018-06-19,21,150,150000,€,Tsd.,269,Holstein Kiel,Holstein Kiel,https://tmssl.akamaized.net/images/wappen/medium/269.png?lm=1544480289,17/18,Atakan Karazor
01.2018,2018-01-22,21,150,150000,€,Tsd.,269,Holstein Kiel,Holstein Kiel,https://tmssl.akamaized.net/images/wappen/medium/269.png?lm=1544480289,17/18,Atakan Karazor
07.2017,2017-07-01,20,200,200000,€,Tsd.,269,Holstein Kiel,Holstein Kiel,https://tmssl.akamaized.net/images/wappen/medium/269.png?lm=1544480289,17/18,Atakan Karazor
11.2016,2016-11-20,20,150,150000,€,Tsd.,17,Borussia Dortmund II,B. Dortmund II,https://tmssl.akamaized.net/images/wappen/medium/17.png?lm=1396275305,16/17,Atakan Karazor
07.2016,2016-07-15,19,125,125000,€,Tsd.,17,Borussia Dortmund II,B. Dortmund II,https://tmssl.akamaized.net/images/wappen/medium/17.png?lm=1396275305,16/17,Atakan Karazor
01.2016,2016-01-15,19,75,75000,€,Tsd.,17,Borussia Dortmund II,B. Dortmund II,https://tmssl.akamaized.net/images/wappen/medium/17.png?lm=1396275305,15/16,Atakan Karazor
07.2015,2015-07-01,18,50,50000,€,Tsd.,17,Borussia Dortmund II,B. Dortmund II,https://tmssl.akamaized.net/images/wappen/medium/17.png?lm=1396275305,15/16,Atakan Karazor
