date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,24,"1,50",1500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,22/23,Aymen Barkok
06.2022,2022-06-09,24,"1,80",1800000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Aymen Barkok
12.2021,2021-12-22,23,"2,00",2000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Aymen Barkok
06.2021,2021-06-09,23,"3,50",3500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Aymen Barkok
02.2021,2021-02-10,22,"3,50",3500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Aymen Barkok
11.2020,2020-11-26,22,"2,00",2000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Aymen Barkok
09.2020,2020-09-16,22,"1,00",1000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Aymen Barkok
04.2020,2020-04-08,21,"1,30",1300000,€,Mio.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,19/20,Aymen Barkok
12.2019,2019-12-17,21,"1,50",1500000,€,Mio.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,19/20,Aymen Barkok
06.2019,2019-06-05,21,"2,00",2000000,€,Mio.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,18/19,Aymen Barkok
12.2018,2018-12-18,20,"1,50",1500000,€,Mio.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,18/19,Aymen Barkok
06.2018,2018-06-05,20,"2,00",2000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,17/18,Aymen Barkok
12.2017,2017-12-28,19,"2,00",2000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,17/18,Aymen Barkok
06.2017,2017-06-19,19,"1,25",1250000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,16/17,Aymen Barkok
03.2017,2017-03-22,18,"1,25",1250000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,16/17,Aymen Barkok
02.2017,2017-02-07,18,750,750000,€,Tsd.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,16/17,Aymen Barkok
10.2016,2016-10-20,18,100,100000,€,Tsd.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,16/17,Aymen Barkok
