date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-14,25,"4,00",4000000,€,Mio.,279,Ferencváros Budapest,Ferencváros,https://tmssl.akamaized.net/images/wappen/medium/279.png?lm=1565263263,22/23,Aïssa Laïdouni
06.2022,2022-06-07,25,"3,50",3500000,€,Mio.,279,Ferencváros Budapest,Ferencváros,https://tmssl.akamaized.net/images/wappen/medium/279.png?lm=1565263263,21/22,Aïssa Laïdouni
01.2022,2022-01-07,25,"3,00",3000000,€,Mio.,279,Ferencváros Budapest,Ferencváros,https://tmssl.akamaized.net/images/wappen/medium/279.png?lm=1565263263,21/22,Aïssa Laïdouni
10.2021,2021-10-11,24,"2,50",2500000,€,Mio.,279,Ferencváros Budapest,Ferencváros,https://tmssl.akamaized.net/images/wappen/medium/279.png?lm=1565263263,21/22,Aïssa Laïdouni
06.2021,2021-06-01,24,"2,00",2000000,€,Mio.,279,Ferencváros Budapest,Ferencváros,https://tmssl.akamaized.net/images/wappen/medium/279.png?lm=1565263263,20/21,Aïssa Laïdouni
01.2021,2021-01-24,24,"1,20",1200000,€,Mio.,279,Ferencváros Budapest,Ferencváros,https://tmssl.akamaized.net/images/wappen/medium/279.png?lm=1565263263,20/21,Aïssa Laïdouni
10.2020,2020-10-23,23,800,800000,€,Tsd.,279,Ferencváros Budapest,Ferencváros,https://tmssl.akamaized.net/images/wappen/medium/279.png?lm=1565263263,20/21,Aïssa Laïdouni
08.2020,2020-08-05,23,500,500000,€,Tsd.,279,Ferencváros Budapest,Ferencváros,https://tmssl.akamaized.net/images/wappen/medium/279.png?lm=1565263263,20/21,Aïssa Laïdouni
04.2020,2020-04-08,23,400,400000,€,Tsd.,40843,FC Voluntari,FC Voluntari,https://tmssl.akamaized.net/images/wappen/medium/40843.png?lm=1626459369,19/20,Aïssa Laïdouni
12.2019,2019-12-21,23,500,500000,€,Tsd.,40843,FC Voluntari,FC Voluntari,https://tmssl.akamaized.net/images/wappen/medium/40843.png?lm=1626459369,19/20,Aïssa Laïdouni
09.2019,2019-09-26,22,500,500000,€,Tsd.,40843,FC Voluntari,FC Voluntari,https://tmssl.akamaized.net/images/wappen/medium/40843.png?lm=1626459369,19/20,Aïssa Laïdouni
06.2019,2019-06-18,22,600,600000,€,Tsd.,40843,FC Voluntari,FC Voluntari,https://tmssl.akamaized.net/images/wappen/medium/40843.png?lm=1626459369,18/19,Aïssa Laïdouni
04.2019,2019-04-04,22,450,450000,€,Tsd.,40843,FC Voluntari,FC Voluntari,https://tmssl.akamaized.net/images/wappen/medium/40843.png?lm=1626459369,18/19,Aïssa Laïdouni
12.2018,2018-12-23,22,350,350000,€,Tsd.,40843,FC Voluntari,FC Voluntari,https://tmssl.akamaized.net/images/wappen/medium/40843.png?lm=1626459369,18/19,Aïssa Laïdouni
04.2018,2018-04-24,21,200,200000,€,Tsd.,35012,FC Chambly Oise,FC Chambly Oise,https://tmssl.akamaized.net/images/wappen/medium/35012.png?lm=1578222056,17/18,Aïssa Laïdouni
02.2017,2017-02-20,20,175,175000,€,Tsd.,13523,Les Herbiers VF,Les Herbiers VF,https://tmssl.akamaized.net/images/wappen/medium/13523.png?lm=1599518584,16/17,Aïssa Laïdouni
07.2016,2016-07-13,19,100,100000,€,Tsd.,16672,Angers SCO B,Angers SCO B,https://tmssl.akamaized.net/images/wappen/medium/16672.png?lm=1630564074,16/17,Aïssa Laïdouni
