date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,33,"3,50",3500000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,22/23,Charles Aránguiz
06.2022,2022-06-09,33,"3,50",3500000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Charles Aránguiz
12.2021,2021-12-22,32,"5,00",5000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Charles Aránguiz
06.2021,2021-06-09,32,"6,00",6000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Charles Aránguiz
02.2021,2021-02-10,31,"9,00",9000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Charles Aránguiz
04.2020,2020-04-08,30,"12,00",12000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Charles Aránguiz
12.2019,2019-12-17,30,"15,00",15000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Charles Aránguiz
06.2019,2019-06-05,30,"15,00",15000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,18/19,Charles Aránguiz
12.2018,2018-12-18,29,"15,00",15000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,18/19,Charles Aránguiz
08.2018,2018-08-22,29,"15,00",15000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,18/19,Charles Aránguiz
06.2018,2018-06-05,29,"10,00",10000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,17/18,Charles Aránguiz
12.2017,2017-12-28,28,"10,00",10000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,17/18,Charles Aránguiz
06.2017,2017-06-19,28,"8,00",8000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,16/17,Charles Aránguiz
03.2017,2017-03-22,27,"8,00",8000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,16/17,Charles Aránguiz
02.2017,2017-02-07,27,"10,00",10000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,16/17,Charles Aránguiz
07.2016,2016-07-22,27,"12,00",12000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,16/17,Charles Aránguiz
02.2016,2016-02-15,26,"9,50",9500000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,15/16,Charles Aránguiz
05.2015,2015-05-31,26,"9,50",9500000,€,Mio.,6600,SC Internacional Porto Alegre,Internacional,https://tmssl.akamaized.net/images/wappen/medium/6600.png?lm=1644878605,14/15,Charles Aránguiz
02.2015,2015-02-01,25,"9,00",9000000,€,Mio.,6600,SC Internacional Porto Alegre,Internacional,https://tmssl.akamaized.net/images/wappen/medium/6600.png?lm=1644878605,14/15,Charles Aránguiz
08.2014,2014-08-07,25,"3,00",3000000,€,Mio.,6600,SC Internacional Porto Alegre,Internacional,https://tmssl.akamaized.net/images/wappen/medium/6600.png?lm=1644878605,14/15,Charles Aránguiz
12.2011,2011-12-29,22,"2,20",2200000,€,Mio.,1037,Club Universidad de Chile,U. de Chile,https://tmssl.akamaized.net/images/wappen/medium/1037.png?lm=1679053223,11/12,Charles Aránguiz
12.2011,2011-12-25,22,"2,00",2000000,€,Mio.,1037,Club Universidad de Chile,U. de Chile,https://tmssl.akamaized.net/images/wappen/medium/1037.png?lm=1679053223,11/12,Charles Aránguiz
01.2011,2011-01-01,21,700,700000,€,Tsd.,1826,Quilmes Atlético Club,Quilmes,https://tmssl.akamaized.net/images/wappen/medium/1826.png?lm=1412763556,10/11,Charles Aránguiz
06.2010,2010-06-03,21,900,900000,€,Tsd.,2433,CSD Colo Colo,Colo Colo,https://tmssl.akamaized.net/images/wappen/medium/2433.png?lm=1656447570,09/10,Charles Aránguiz
04.2010,2010-04-25,21,600,600000,€,Tsd.,2433,CSD Colo Colo,Colo Colo,https://tmssl.akamaized.net/images/wappen/medium/2433.png?lm=1656447570,09/10,Charles Aránguiz
12.2009,2009-12-09,20,500,500000,€,Tsd.,2433,CSD Colo Colo,Colo Colo,https://tmssl.akamaized.net/images/wappen/medium/2433.png?lm=1656447570,09/10,Charles Aránguiz
