date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,33,500,500000,€,Tsd.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,22/23,Christian Groß
06.2022,2022-06-16,33,500,500000,€,Tsd.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,21/22,Christian Groß
12.2021,2021-12-15,32,500,500000,€,Tsd.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,21/22,Christian Groß
06.2021,2021-06-09,32,500,500000,€,Tsd.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,20/21,Christian Groß
02.2021,2021-02-10,32,500,500000,€,Tsd.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,20/21,Christian Groß
11.2020,2020-11-26,31,500,500000,€,Tsd.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,20/21,Christian Groß
12.2019,2019-12-17,30,300,300000,€,Tsd.,87,SV Werder Bremen II,W. Bremen II,https://tmssl.akamaized.net/images/wappen/medium/87.png?lm=1403082298,19/20,Christian Groß
10.2019,2019-10-02,30,300,300000,€,Tsd.,87,SV Werder Bremen II,W. Bremen II,https://tmssl.akamaized.net/images/wappen/medium/87.png?lm=1403082298,19/20,Christian Groß
07.2019,2019-07-28,30,200,200000,€,Tsd.,87,SV Werder Bremen II,W. Bremen II,https://tmssl.akamaized.net/images/wappen/medium/87.png?lm=1403082298,19/20,Christian Groß
02.2019,2019-02-24,30,200,200000,€,Tsd.,87,SV Werder Bremen II,W. Bremen II,https://tmssl.akamaized.net/images/wappen/medium/87.png?lm=1403082298,18/19,Christian Groß
08.2018,2018-08-08,29,200,200000,€,Tsd.,87,SV Werder Bremen II,W. Bremen II,https://tmssl.akamaized.net/images/wappen/medium/87.png?lm=1403082298,18/19,Christian Groß
06.2018,2018-06-08,29,200,200000,€,Tsd.,81,VfL Osnabrück,VfL Osnabrück,https://tmssl.akamaized.net/images/wappen/medium/81.png?lm=1628028863,17/18,Christian Groß
01.2018,2018-01-19,28,350,350000,€,Tsd.,81,VfL Osnabrück,VfL Osnabrück,https://tmssl.akamaized.net/images/wappen/medium/81.png?lm=1628028863,17/18,Christian Groß
06.2017,2017-06-14,28,400,400000,€,Tsd.,81,VfL Osnabrück,VfL Osnabrück,https://tmssl.akamaized.net/images/wappen/medium/81.png?lm=1628028863,16/17,Christian Groß
02.2017,2017-02-10,28,425,425000,€,Tsd.,81,VfL Osnabrück,VfL Osnabrück,https://tmssl.akamaized.net/images/wappen/medium/81.png?lm=1628028863,16/17,Christian Groß
07.2016,2016-07-14,27,425,425000,€,Tsd.,81,VfL Osnabrück,VfL Osnabrück,https://tmssl.akamaized.net/images/wappen/medium/81.png?lm=1628028863,16/17,Christian Groß
03.2016,2016-03-29,27,425,425000,€,Tsd.,81,VfL Osnabrück,VfL Osnabrück,https://tmssl.akamaized.net/images/wappen/medium/81.png?lm=1628028863,15/16,Christian Groß
02.2016,2016-02-08,27,375,375000,€,Tsd.,81,VfL Osnabrück,VfL Osnabrück,https://tmssl.akamaized.net/images/wappen/medium/81.png?lm=1628028863,15/16,Christian Groß
07.2015,2015-07-01,26,325,325000,€,Tsd.,81,VfL Osnabrück,VfL Osnabrück,https://tmssl.akamaized.net/images/wappen/medium/81.png?lm=1628028863,15/16,Christian Groß
03.2015,2015-03-07,26,275,275000,€,Tsd.,81,VfL Osnabrück,VfL Osnabrück,https://tmssl.akamaized.net/images/wappen/medium/81.png?lm=1628028863,14/15,Christian Groß
11.2014,2014-11-06,25,225,225000,€,Tsd.,81,VfL Osnabrück,VfL Osnabrück,https://tmssl.akamaized.net/images/wappen/medium/81.png?lm=1628028863,14/15,Christian Groß
06.2014,2014-06-30,25,175,175000,€,Tsd.,668,Sportfreunde Lotte,SF Lotte,https://tmssl.akamaized.net/images/wappen/medium/668.png?lm=1466965576,13/14,Christian Groß
05.2014,2014-05-08,25,175,175000,€,Tsd.,668,Sportfreunde Lotte,SF Lotte,https://tmssl.akamaized.net/images/wappen/medium/668.png?lm=1466965576,13/14,Christian Groß
03.2014,2014-03-28,25,175,175000,€,Tsd.,668,Sportfreunde Lotte,SF Lotte,https://tmssl.akamaized.net/images/wappen/medium/668.png?lm=1466965576,13/14,Christian Groß
06.2013,2013-06-28,24,175,175000,€,Tsd.,90,SV Babelsberg 03,Babelsberg 03,https://tmssl.akamaized.net/images/wappen/medium/90.png?lm=1502023471,12/13,Christian Groß
12.2012,2012-12-30,23,175,175000,€,Tsd.,90,SV Babelsberg 03,Babelsberg 03,https://tmssl.akamaized.net/images/wappen/medium/90.png?lm=1502023471,12/13,Christian Groß
02.2011,2011-02-11,22,100,100000,€,Tsd.,389,Hamburger SV II,Hamburger SV II,https://tmssl.akamaized.net/images/wappen/medium/389.png?lm=1597319274,10/11,Christian Groß
02.2010,2010-02-06,20,100,100000,€,Tsd.,41,Hamburger SV,Hamburger SV,https://tmssl.akamaized.net/images/wappen/medium/41.png?lm=1597319274,09/10,Christian Groß
09.2008,2008-09-05,19,50,50000,€,Tsd.,389,Hamburger SV II,Hamburger SV II,https://tmssl.akamaized.net/images/wappen/medium/389.png?lm=1597319274,08/09,Christian Groß
