date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,32,600,600000,€,Tsd.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,22/23,Danny Latza
06.2022,2022-06-16,32,600,600000,€,Tsd.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,21/22,Danny Latza
03.2022,2022-03-23,32,600,600000,€,Tsd.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,21/22,Danny Latza
12.2021,2021-12-15,32,800,800000,€,Tsd.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,21/22,Danny Latza
10.2021,2021-10-13,31,"1,00",1000000,€,Mio.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,21/22,Danny Latza
06.2021,2021-06-09,31,"1,50",1500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,20/21,Danny Latza
02.2021,2021-02-10,31,"2,00",2000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,20/21,Danny Latza
09.2020,2020-09-16,30,"2,00",2000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,20/21,Danny Latza
04.2020,2020-04-08,30,"2,80",2800000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,19/20,Danny Latza
12.2019,2019-12-17,30,"3,50",3500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,19/20,Danny Latza
06.2019,2019-06-05,29,"4,00",4000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,18/19,Danny Latza
12.2018,2018-12-18,29,"4,00",4000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,18/19,Danny Latza
06.2018,2018-06-05,28,"4,50",4500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,17/18,Danny Latza
12.2017,2017-12-28,28,"5,00",5000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,17/18,Danny Latza
06.2017,2017-06-19,27,"4,00",4000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,16/17,Danny Latza
03.2017,2017-03-22,27,"4,00",4000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,16/17,Danny Latza
02.2017,2017-02-07,27,"3,00",3000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,16/17,Danny Latza
07.2016,2016-07-22,26,"3,00",3000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,16/17,Danny Latza
02.2016,2016-02-15,26,"2,25",2250000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,15/16,Danny Latza
07.2015,2015-07-01,25,"1,20",1200000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,15/16,Danny Latza
01.2015,2015-01-13,25,900,900000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,14/15,Danny Latza
06.2014,2014-06-30,24,650,650000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,13/14,Danny Latza
01.2014,2014-01-20,24,650,650000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,13/14,Danny Latza
10.2013,2013-10-14,23,500,500000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,13/14,Danny Latza
07.2013,2013-07-02,23,300,300000,€,Tsd.,105,SV Darmstadt 98,Darmstadt 98,https://tmssl.akamaized.net/images/wappen/medium/105.png?lm=1501493517,13/14,Danny Latza
06.2012,2012-06-09,22,300,300000,€,Tsd.,105,SV Darmstadt 98,Darmstadt 98,https://tmssl.akamaized.net/images/wappen/medium/105.png?lm=1501493517,11/12,Danny Latza
10.2011,2011-10-15,21,200,200000,€,Tsd.,105,SV Darmstadt 98,Darmstadt 98,https://tmssl.akamaized.net/images/wappen/medium/105.png?lm=1501493517,11/12,Danny Latza
07.2010,2010-07-30,20,150,150000,€,Tsd.,34,FC Schalke 04 II,Schalke 04 II,https://tmssl.akamaized.net/images/wappen/medium/34.png?lm=1656580847,10/11,Danny Latza
06.2010,2010-06-13,20,250,250000,€,Tsd.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,09/10,Danny Latza
06.2009,2009-06-10,19,350,350000,€,Tsd.,33,FC Schalke 04,FC Schalke 04,https://tmssl.akamaized.net/images/wappen/medium/33.png?lm=1656580846,08/09,Danny Latza
07.2008,2008-07-15,18,200,200000,€,Tsd.,34,FC Schalke 04 II,Schalke 04 II,https://tmssl.akamaized.net/images/wappen/medium/34.png?lm=1656580847,08/09,Danny Latza
