date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,25,"10,00",10000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,22/23,Dejan Ljubicic
09.2022,2022-09-21,24,"8,50",8500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,22/23,Dejan Ljubicic
06.2022,2022-06-09,24,"7,50",7500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,21/22,Dejan Ljubicic
12.2021,2021-12-22,24,"6,00",6000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,21/22,Dejan Ljubicic
10.2021,2021-10-07,23,"4,50",4500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,21/22,Dejan Ljubicic
06.2021,2021-06-02,23,"3,00",3000000,€,Mio.,170,SK Rapid Wien,Rapid Wien,https://tmssl.akamaized.net/images/wappen/medium/170.png?lm=1653663056,20/21,Dejan Ljubicic
12.2020,2020-12-21,23,"3,00",3000000,€,Mio.,170,SK Rapid Wien,Rapid Wien,https://tmssl.akamaized.net/images/wappen/medium/170.png?lm=1653663056,20/21,Dejan Ljubicic
07.2020,2020-07-22,22,"3,00",3000000,€,Mio.,170,SK Rapid Wien,Rapid Wien,https://tmssl.akamaized.net/images/wappen/medium/170.png?lm=1653663056,20/21,Dejan Ljubicic
04.2020,2020-04-08,22,"2,00",2000000,€,Mio.,170,SK Rapid Wien,Rapid Wien,https://tmssl.akamaized.net/images/wappen/medium/170.png?lm=1653663056,19/20,Dejan Ljubicic
12.2019,2019-12-16,22,"2,50",2500000,€,Mio.,170,SK Rapid Wien,Rapid Wien,https://tmssl.akamaized.net/images/wappen/medium/170.png?lm=1653663056,19/20,Dejan Ljubicic
06.2019,2019-06-03,21,"2,00",2000000,€,Mio.,170,SK Rapid Wien,Rapid Wien,https://tmssl.akamaized.net/images/wappen/medium/170.png?lm=1653663056,18/19,Dejan Ljubicic
12.2018,2018-12-19,21,"2,50",2500000,€,Mio.,170,SK Rapid Wien,Rapid Wien,https://tmssl.akamaized.net/images/wappen/medium/170.png?lm=1653663056,18/19,Dejan Ljubicic
06.2018,2018-06-14,20,"3,00",3000000,€,Mio.,170,SK Rapid Wien,Rapid Wien,https://tmssl.akamaized.net/images/wappen/medium/170.png?lm=1653663056,17/18,Dejan Ljubicic
01.2018,2018-01-02,20,"1,50",1500000,€,Mio.,170,SK Rapid Wien,Rapid Wien,https://tmssl.akamaized.net/images/wappen/medium/170.png?lm=1653663056,17/18,Dejan Ljubicic
10.2017,2017-10-11,20,600,600000,€,Tsd.,170,SK Rapid Wien,Rapid Wien,https://tmssl.akamaized.net/images/wappen/medium/170.png?lm=1653663056,17/18,Dejan Ljubicic
08.2017,2017-08-21,19,250,250000,€,Tsd.,17444,1. Wiener Neustädter SC,Wiener Neustadt,https://tmssl.akamaized.net/images/wappen/medium/17444.png?lm=1632587874,17/18,Dejan Ljubicic
07.2017,2017-07-11,19,100,100000,€,Tsd.,17444,1. Wiener Neustädter SC,Wiener Neustadt,https://tmssl.akamaized.net/images/wappen/medium/17444.png?lm=1632587874,17/18,Dejan Ljubicic
