date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,25,"22,00",22000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,22/23,Djibril Sow
06.2022,2022-06-09,25,"22,00",22000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Djibril Sow
12.2021,2021-12-22,24,"17,50",17500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Djibril Sow
05.2021,2021-05-25,24,"15,00",15000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Djibril Sow
03.2021,2021-03-31,24,"15,00",15000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Djibril Sow
02.2021,2021-02-10,24,"10,00",10000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Djibril Sow
11.2020,2020-11-26,23,"7,00",7000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Djibril Sow
04.2020,2020-04-08,23,"9,50",9500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,19/20,Djibril Sow
12.2019,2019-12-17,22,"12,00",12000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,19/20,Djibril Sow
06.2019,2019-06-04,22,"9,00",9000000,€,Mio.,452,BSC Young Boys,BSC Young Boys,https://tmssl.akamaized.net/images/wappen/medium/452.png?lm=1656418573,18/19,Djibril Sow
04.2019,2019-04-15,22,"9,00",9000000,€,Mio.,452,BSC Young Boys,BSC Young Boys,https://tmssl.akamaized.net/images/wappen/medium/452.png?lm=1656418573,18/19,Djibril Sow
01.2019,2019-01-21,21,"9,00",9000000,€,Mio.,452,BSC Young Boys,BSC Young Boys,https://tmssl.akamaized.net/images/wappen/medium/452.png?lm=1656418573,18/19,Djibril Sow
07.2018,2018-07-12,21,"6,50",6500000,€,Mio.,452,BSC Young Boys,BSC Young Boys,https://tmssl.akamaized.net/images/wappen/medium/452.png?lm=1656418573,18/19,Djibril Sow
04.2018,2018-04-24,21,"3,00",3000000,€,Mio.,452,BSC Young Boys,BSC Young Boys,https://tmssl.akamaized.net/images/wappen/medium/452.png?lm=1656418573,17/18,Djibril Sow
01.2018,2018-01-08,20,"1,50",1500000,€,Mio.,452,BSC Young Boys,BSC Young Boys,https://tmssl.akamaized.net/images/wappen/medium/452.png?lm=1656418573,17/18,Djibril Sow
07.2017,2017-07-12,20,"1,00",1000000,€,Mio.,452,BSC Young Boys,BSC Young Boys,https://tmssl.akamaized.net/images/wappen/medium/452.png?lm=1656418573,17/18,Djibril Sow
06.2017,2017-06-19,20,"1,00",1000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,16/17,Djibril Sow
02.2017,2017-02-07,20,"1,00",1000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,16/17,Djibril Sow
07.2016,2016-07-22,19,"1,00",1000000,€,Mio.,18,Borussia Mönchengladbach,Bor. M'gladbach,https://tmssl.akamaized.net/images/wappen/medium/18.png?lm=1656585796,16/17,Djibril Sow
01.2016,2016-01-15,18,"1,00",1000000,€,Mio.,1006,Borussia Mönchengladbach II,M'gladbach II,https://tmssl.akamaized.net/images/wappen/medium/1006.png?lm=1656585796,15/16,Djibril Sow
07.2015,2015-07-01,18,"1,25",1250000,€,Mio.,1006,Borussia Mönchengladbach II,M'gladbach II,https://tmssl.akamaized.net/images/wappen/medium/1006.png?lm=1656585796,15/16,Djibril Sow
12.2014,2014-12-15,17,350,350000,€,Tsd.,5501,FC Zürich U21,FC Zürich U21,https://tmssl.akamaized.net/images/wappen/medium/5501.png?lm=1656418797,14/15,Djibril Sow
09.2014,2014-09-12,17,50,50000,€,Tsd.,5501,FC Zürich U21,FC Zürich U21,https://tmssl.akamaized.net/images/wappen/medium/5501.png?lm=1656418797,14/15,Djibril Sow
