date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,28,"4,00",4000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,22/23,Dominik Kohr
09.2022,2022-09-21,28,"4,00",4000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,22/23,Dominik Kohr
06.2022,2022-06-09,28,"5,00",5000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,21/22,Dominik Kohr
12.2021,2021-12-22,27,"6,00",6000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,21/22,Dominik Kohr
06.2021,2021-06-09,27,"6,00",6000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,20/21,Dominik Kohr
02.2021,2021-02-10,27,"5,50",5500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,20/21,Dominik Kohr
04.2020,2020-04-08,26,"6,80",6800000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,19/20,Dominik Kohr
12.2019,2019-12-17,25,"8,50",8500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,19/20,Dominik Kohr
10.2019,2019-10-02,25,"8,50",8500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,19/20,Dominik Kohr
06.2019,2019-06-05,25,"4,00",4000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,18/19,Dominik Kohr
12.2018,2018-12-18,24,"5,00",5000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,18/19,Dominik Kohr
06.2018,2018-06-05,24,"5,00",5000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,17/18,Dominik Kohr
12.2017,2017-12-28,23,"4,50",4500000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,17/18,Dominik Kohr
06.2017,2017-06-19,23,"3,50",3500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,16/17,Dominik Kohr
02.2017,2017-02-07,23,"3,50",3500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,16/17,Dominik Kohr
07.2016,2016-07-22,22,"3,50",3500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,16/17,Dominik Kohr
02.2016,2016-02-15,22,"3,00",3000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,15/16,Dominik Kohr
07.2015,2015-07-01,21,"2,50",2500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,15/16,Dominik Kohr
02.2015,2015-02-04,21,"2,00",2000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,14/15,Dominik Kohr
11.2014,2014-11-03,20,"1,50",1500000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,14/15,Dominik Kohr
07.2014,2014-07-10,20,"1,00",1000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,14/15,Dominik Kohr
06.2013,2013-06-30,19,500,500000,€,Tsd.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,12/13,Dominik Kohr
01.2013,2013-01-13,18,500,500000,€,Tsd.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,12/13,Dominik Kohr
06.2012,2012-06-29,18,200,200000,€,Tsd.,4713,Bayer 04 Leverkusen U19,Leverkusen U19,https://tmssl.akamaized.net/images/wappen/medium/4713.png?lm=1651221781,11/12,Dominik Kohr
