date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,26,"3,00",3000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,22/23,Edimilson Fernandes
06.2022,2022-06-08,26,"2,00",2000000,€,Mio.,452,BSC Young Boys,BSC Young Boys,https://tmssl.akamaized.net/images/wappen/medium/452.png?lm=1656418573,21/22,Edimilson Fernandes
12.2021,2021-12-22,25,"2,80",2800000,€,Mio.,10,Arminia Bielefeld,Arm. Bielefeld,https://tmssl.akamaized.net/images/wappen/medium/10.png?lm=1629204733,21/22,Edimilson Fernandes
10.2021,2021-10-07,25,"3,50",3500000,€,Mio.,10,Arminia Bielefeld,Arm. Bielefeld,https://tmssl.akamaized.net/images/wappen/medium/10.png?lm=1629204733,21/22,Edimilson Fernandes
05.2021,2021-05-25,25,"5,00",5000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,20/21,Edimilson Fernandes
02.2021,2021-02-10,24,"5,50",5500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,20/21,Edimilson Fernandes
04.2020,2020-04-08,23,"5,50",5500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,19/20,Edimilson Fernandes
12.2019,2019-12-17,23,"7,00",7000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,19/20,Edimilson Fernandes
06.2019,2019-06-06,23,"8,00",8000000,€,Mio.,430,AC Florenz,AC Florenz,https://tmssl.akamaized.net/images/wappen/medium/430.png?lm=1656660160,18/19,Edimilson Fernandes
03.2019,2019-03-01,22,"8,00",8000000,€,Mio.,430,AC Florenz,AC Florenz,https://tmssl.akamaized.net/images/wappen/medium/430.png?lm=1656660160,18/19,Edimilson Fernandes
12.2018,2018-12-20,22,"6,00",6000000,€,Mio.,430,AC Florenz,AC Florenz,https://tmssl.akamaized.net/images/wappen/medium/430.png?lm=1656660160,18/19,Edimilson Fernandes
05.2018,2018-05-28,22,"5,00",5000000,€,Mio.,379,West Ham United,West Ham Utd.,https://tmssl.akamaized.net/images/wappen/medium/379.png?lm=1464675260,17/18,Edimilson Fernandes
01.2018,2018-01-02,21,"5,00",5000000,€,Mio.,379,West Ham United,West Ham Utd.,https://tmssl.akamaized.net/images/wappen/medium/379.png?lm=1464675260,17/18,Edimilson Fernandes
06.2017,2017-06-28,21,"5,00",5000000,€,Mio.,379,West Ham United,West Ham Utd.,https://tmssl.akamaized.net/images/wappen/medium/379.png?lm=1464675260,16/17,Edimilson Fernandes
02.2017,2017-02-20,20,"4,50",4500000,€,Mio.,379,West Ham United,West Ham Utd.,https://tmssl.akamaized.net/images/wappen/medium/379.png?lm=1464675260,16/17,Edimilson Fernandes
07.2016,2016-07-16,20,"4,50",4500000,€,Mio.,321,FC Sion,FC Sion,https://tmssl.akamaized.net/images/wappen/medium/321.png?lm=1656418886,16/17,Edimilson Fernandes
04.2016,2016-04-20,20,"4,50",4500000,€,Mio.,321,FC Sion,FC Sion,https://tmssl.akamaized.net/images/wappen/medium/321.png?lm=1656418886,15/16,Edimilson Fernandes
12.2015,2015-12-18,19,"3,00",3000000,€,Mio.,321,FC Sion,FC Sion,https://tmssl.akamaized.net/images/wappen/medium/321.png?lm=1656418886,15/16,Edimilson Fernandes
09.2015,2015-09-29,19,"3,00",3000000,€,Mio.,321,FC Sion,FC Sion,https://tmssl.akamaized.net/images/wappen/medium/321.png?lm=1656418886,15/16,Edimilson Fernandes
06.2015,2015-06-18,19,"1,50",1500000,€,Mio.,321,FC Sion,FC Sion,https://tmssl.akamaized.net/images/wappen/medium/321.png?lm=1656418886,14/15,Edimilson Fernandes
04.2015,2015-04-14,18,750,750000,€,Tsd.,321,FC Sion,FC Sion,https://tmssl.akamaized.net/images/wappen/medium/321.png?lm=1656418886,14/15,Edimilson Fernandes
12.2014,2014-12-15,18,200,200000,€,Tsd.,8508,FC Sion U21,FC Sion U21,https://tmssl.akamaized.net/images/wappen/medium/8508.png?lm=1656418886,14/15,Edimilson Fernandes
09.2014,2014-09-12,18,50,50000,€,Tsd.,8508,FC Sion U21,FC Sion U21,https://tmssl.akamaized.net/images/wappen/medium/8508.png?lm=1656418886,14/15,Edimilson Fernandes
06.2013,2013-06-17,17,50,50000,€,Tsd.,8508,FC Sion U21,FC Sion U21,https://tmssl.akamaized.net/images/wappen/medium/8508.png?lm=1656418886,12/13,Edimilson Fernandes
