date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,27,"13,00",13000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,22/23,Ellyes Skhiri
06.2022,2022-06-09,27,"13,00",13000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,21/22,Ellyes Skhiri
12.2021,2021-12-22,26,"13,00",13000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,21/22,Ellyes Skhiri
10.2021,2021-10-07,26,"13,00",13000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,21/22,Ellyes Skhiri
06.2021,2021-06-09,26,"10,00",10000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,20/21,Ellyes Skhiri
02.2021,2021-02-10,25,"6,50",6500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,20/21,Ellyes Skhiri
04.2020,2020-04-08,24,"6,80",6800000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,19/20,Ellyes Skhiri
12.2019,2019-12-17,24,"8,50",8500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,19/20,Ellyes Skhiri
06.2019,2019-06-03,24,"12,00",12000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,18/19,Ellyes Skhiri
12.2018,2018-12-17,23,"10,00",10000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,18/19,Ellyes Skhiri
06.2018,2018-06-04,23,"10,00",10000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,17/18,Ellyes Skhiri
01.2018,2018-01-24,22,"8,00",8000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,17/18,Ellyes Skhiri
10.2017,2017-10-12,22,"4,00",4000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,17/18,Ellyes Skhiri
06.2017,2017-06-01,22,"2,00",2000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,16/17,Ellyes Skhiri
01.2017,2017-01-16,21,"1,75",1750000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,16/17,Ellyes Skhiri
11.2016,2016-11-01,21,"1,25",1250000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,16/17,Ellyes Skhiri
07.2016,2016-07-13,21,800,800000,€,Tsd.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,16/17,Ellyes Skhiri
02.2016,2016-02-04,20,300,300000,€,Tsd.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,15/16,Ellyes Skhiri
07.2015,2015-07-07,20,150,150000,€,Tsd.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,15/16,Ellyes Skhiri
