date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,28,"14,00",14000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,22/23,Emre Can
09.2022,2022-09-21,28,"14,00",14000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,22/23,Emre Can
06.2022,2022-06-09,28,"16,00",16000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,21/22,Emre Can
03.2022,2022-03-24,28,"16,00",16000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,21/22,Emre Can
12.2021,2021-12-22,27,"22,00",22000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,21/22,Emre Can
06.2021,2021-06-01,27,"26,00",26000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Emre Can
02.2021,2021-02-10,27,"26,00",26000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Emre Can
09.2020,2020-09-16,26,"26,00",26000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Emre Can
04.2020,2020-04-08,26,"24,00",24000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,19/20,Emre Can
12.2019,2019-12-12,25,"30,00",30000000,€,Mio.,506,Juventus Turin,Juventus Turin,https://tmssl.akamaized.net/images/wappen/medium/506.png?lm=1626441487,19/20,Emre Can
10.2019,2019-10-08,25,"33,00",33000000,€,Mio.,506,Juventus Turin,Juventus Turin,https://tmssl.akamaized.net/images/wappen/medium/506.png?lm=1626441487,19/20,Emre Can
06.2019,2019-06-06,25,"40,00",40000000,€,Mio.,506,Juventus Turin,Juventus Turin,https://tmssl.akamaized.net/images/wappen/medium/506.png?lm=1626441487,18/19,Emre Can
12.2018,2018-12-20,24,"30,00",30000000,€,Mio.,506,Juventus Turin,Juventus Turin,https://tmssl.akamaized.net/images/wappen/medium/506.png?lm=1626441487,18/19,Emre Can
