date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,24,"15,00",15000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,22/23,Exequiel Palacios
06.2022,2022-06-09,23,"15,00",15000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Exequiel Palacios
12.2021,2021-12-22,23,"15,00",15000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Exequiel Palacios
10.2021,2021-10-07,23,"15,00",15000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Exequiel Palacios
06.2021,2021-06-09,22,"13,00",13000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Exequiel Palacios
03.2021,2021-03-31,22,"13,00",13000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Exequiel Palacios
02.2021,2021-02-10,22,"18,00",18000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Exequiel Palacios
07.2020,2020-07-08,21,"18,00",18000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Exequiel Palacios
04.2020,2020-04-08,21,"22,50",22500000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Exequiel Palacios
12.2019,2019-12-05,21,"25,00",25000000,€,Mio.,209,CA River Plate,River Plate,https://tmssl.akamaized.net/images/wappen/medium/209.png?lm=1645539487,19/20,Exequiel Palacios
08.2019,2019-08-06,20,"20,00",20000000,€,Mio.,209,CA River Plate,River Plate,https://tmssl.akamaized.net/images/wappen/medium/209.png?lm=1645539487,19/20,Exequiel Palacios
12.2018,2018-12-18,20,"20,00",20000000,€,Mio.,209,CA River Plate,River Plate,https://tmssl.akamaized.net/images/wappen/medium/209.png?lm=1645539487,18/19,Exequiel Palacios
05.2018,2018-05-08,19,"3,75",3750000,€,Mio.,209,CA River Plate,River Plate,https://tmssl.akamaized.net/images/wappen/medium/209.png?lm=1645539487,17/18,Exequiel Palacios
10.2017,2017-10-09,19,"1,50",1500000,€,Mio.,209,CA River Plate,River Plate,https://tmssl.akamaized.net/images/wappen/medium/209.png?lm=1645539487,17/18,Exequiel Palacios
08.2016,2016-08-08,17,300,300000,€,Tsd.,14837,CA River Plate II,River Plate II,https://tmssl.akamaized.net/images/wappen/medium/14837.png?lm=1645539487,16/17,Exequiel Palacios
02.2016,2016-02-06,17,300,300000,€,Tsd.,14837,CA River Plate II,River Plate II,https://tmssl.akamaized.net/images/wappen/medium/14837.png?lm=1645539487,15/16,Exequiel Palacios
